,Internships,Projects,Leadership_Positions,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills
122,1,2,1,2,0,0,4,2,4
123,1,2,1,2,0,0,4,4,3
124,2,0,1,1,2,1,0,2,0
125,0,4,0,2,3,2,0,1,4
126,1,3,1,1,1,3,2,2,2
127,0,4,0,0,4,2,1,3,3
128,0,4,0,1,3,4,1,2,3
129,2,4,1,3,3,2,2,1,3
130,1,3,0,0,3,1,2,2,4
131,2,2,1,3,2,3,1,4,2
132,1,3,0,4,3,0,0,2,4
133,1,0,0,4,4,0,2,1,4
134,2,3,0,1,2,1,2,0,4
135,1,3,0,0,3,3,4,1,4
136,0,1,1,4,1,4,1,4,0
137,1,3,1,0,0,1,0,2,2
138,1,2,0,4,1,4,1,1,1
139,0,2,1,0,1,4,1,2,1
140,0,3,1,3,1,3,2,3,2
141,1,2,1,4,3,2,0,4,4
142,0,3,0,1,1,0,0,2,0
143,0,3,1,0,1,1,1,1,2
144,0,0,1,3,0,3,1,0,0
145,1,0,1,1,3,4,1,0,3
146,0,0,1,0,4,1,4,2,3
147,1,2,0,1,0,3,3,3,0
148,0,2,0,1,0,0,1,4,3
149,0,1,1,0,1,1,3,0,4
150,1,1,1,4,3,1,3,1,4
151,1,3,1,0,0,1,2,4,3
152,2,4,1,4,3,3,2,0,3
153,1,1,1,4,3,3,4,4,3
154,2,1,1,4,3,1,0,0,2
155,2,4,0,2,4,0,1,0,4
156,2,1,0,2,2,3,0,0,0
157,2,0,0,0,3,4,1,3,1
158,1,1,1,3,0,4,1,2,2
159,0,0,0,2,4,0,0,1,0
160,1,1,0,1,3,3,0,1,0
161,1,0,0,4,4,4,4,4,3
162,2,2,1,1,4,3,4,0,3
163,2,3,1,3,2,2,3,1,3
164,0,2,0,2,1,1,4,0,3
165,1,0,0,2,3,1,4,4,3
166,2,3,0,1,3,0,3,4,2
167,0,2,0,0,0,2,0,3,2
168,2,2,0,3,0,0,1,4,0
169,0,1,0,4,4,2,0,3,0
170,1,2,0,2,2,3,2,3,2
171,0,3,1,0,3,0,2,2,2
172,1,4,1,2,0,2,3,2,4
173,2,0,1,0,0,1,0,3,2
174,0,3,1,1,3,3,0,1,2
175,0,2,0,0,4,3,3,4,0
176,2,3,0,0,3,4,3,4,0
177,0,0,0,2,1,4,4,3,0
178,1,0,0,4,2,2,4,1,1
179,0,2,1,4,2,3,2,3,3
180,1,2,1,2,0,0,0,0,3
181,1,3,0,1,2,4,2,4,0
182,0,0,1,1,3,3,2,3,0
183,1,2,1,3,3,3,1,3,4
184,1,2,1,3,2,0,0,3,2
185,0,1,0,4,0,4,3,0,0
186,1,3,0,3,1,3,3,3,3
187,2,2,0,1,2,1,4,1,4
188,0,3,0,3,0,0,0,3,3
189,2,3,0,3,3,3,4,2,3
190,2,2,0,1,3,3,1,3,1
191,2,4,1,1,3,3,2,4,0
192,1,3,0,4,3,3,4,4,4
193,2,4,1,3,3,0,4,3,3
194,1,4,1,2,4,1,4,4,4
195,2,1,0,0,0,3,0,0,4
196,0,4,1,0,0,3,4,3,2
197,1,3,1,0,1,3,1,3,4
198,0,2,0,2,4,0,0,2,2
199,0,3,1,3,4,0,1,1,3
200,0,4,1,0,2,1,2,0,2
201,1,2,1,1,3,3,2,0,0
202,2,4,0,2,1,0,3,3,2
203,1,0,1,1,1,4,3,0,4
204,2,4,0,2,1,3,3,1,4
205,1,4,0,1,2,4,4,0,1
206,2,4,0,3,0,0,3,1,1
207,0,2,0,4,4,4,4,2,0
208,2,3,0,2,4,3,4,2,4
209,2,4,0,2,3,3,1,3,1
210,0,2,0,3,4,0,3,4,0
211,2,0,1,4,3,2,2,4,4
212,1,2,1,3,2,3,2,4,3
213,0,1,1,1,1,2,3,0,2
214,0,1,0,0,3,2,4,0,4
215,0,3,1,4,1,4,0,0,4
216,1,1,0,1,1,2,4,4,3
217,2,1,1,4,4,2,4,3,0
218,1,3,0,3,1,1,2,3,0
219,2,2,1,4,0,1,0,4,0
220,2,4,0,2,4,3,3,3,3
221,2,2,0,4,0,0,4,3,1
222,0,2,0,3,0,1,4,3,2
223,2,1,1,2,4,2,4,1,2
224,0,0,1,3,0,3,3,2,0
225,2,3,0,3,4,2,2,1,1
226,0,3,0,2,4,4,1,1,2
227,1,2,1,2,4,4,0,4,0
228,2,2,0,1,2,0,1,3,1
229,2,0,1,2,0,2,3,0,4
230,1,1,0,1,3,4,0,1,4
231,0,0,1,1,3,0,0,0,2
232,2,2,1,2,2,2,1,1,2
233,2,2,0,1,3,4,2,4,3
234,0,1,1,1,2,0,0,4,4
235,2,0,1,3,0,3,0,4,3
236,2,1,0,3,1,2,1,2,3
237,1,4,0,4,4,3,4,1,2
238,2,0,1,2,1,3,4,4,2
239,1,2,0,4,2,2,2,3,1
240,0,3,1,0,2,3,3,4,1
241,0,4,1,1,2,4,4,3,2
242,2,1,1,1,0,0,3,1,3
243,1,3,1,1,3,3,2,4,4
244,0,4,1,4,3,4,1,3,2
245,1,0,0,4,4,2,2,4,4
246,0,2,1,0,0,3,0,4,0
247,0,4,1,2,4,1,1,2,2
248,1,4,1,4,4,4,0,4,0
249,1,4,0,2,2,4,3,1,4
250,0,3,1,2,3,2,3,2,0
251,0,3,0,2,1,0,2,1,0
252,2,0,0,4,3,0,2,2,1
253,1,2,1,1,1,4,2,1,3
254,1,4,0,2,3,0,3,4,2
255,1,2,1,3,4,1,3,2,1
256,1,1,0,0,0,1,0,4,0
257,2,0,0,1,4,3,1,1,1
258,2,2,1,4,2,3,3,1,1
259,0,0,0,0,3,2,3,0,4
260,2,0,0,2,0,4,0,3,3
261,2,3,0,4,1,2,2,1,2
262,1,0,0,2,4,1,4,1,3
263,1,3,0,2,4,2,0,3,4
264,2,4,0,4,4,3,4,2,2
265,1,2,0,0,0,3,3,2,4
266,2,2,1,1,3,3,0,2,4
267,2,1,1,2,4,1,4,0,0
268,2,1,0,0,1,2,3,4,4
269,2,3,1,0,3,3,3,0,2
270,0,4,0,2,0,1,3,3,0
271,1,1,1,4,2,0,2,3,3
272,2,4,1,4,3,4,1,4,2
273,0,3,0,1,2,3,2,3,3
274,0,0,1,3,3,1,4,4,4
275,0,4,0,2,1,2,3,0,1
276,1,1,1,1,1,4,4,2,4
277,1,3,0,1,1,0,0,4,0
278,1,4,1,3,4,4,3,4,2
279,2,1,0,0,1,3,0,4,2
280,1,2,1,4,4,0,2,2,3
281,0,0,1,4,0,4,3,0,0
282,2,1,1,4,3,0,2,3,0
283,1,0,0,3,1,0,2,2,4
284,0,2,0,0,1,4,4,1,2
285,0,3,0,1,2,3,4,1,3
286,0,3,0,3,4,0,2,3,2
287,0,3,0,3,0,1,4,0,4
288,0,1,0,4,2,3,4,3,0
289,2,2,1,0,3,2,1,4,1
290,0,0,0,0,1,3,1,3,1
291,1,2,0,4,0,2,1,3,2
292,1,1,1,2,1,2,0,4,0
293,1,2,1,2,1,1,1,1,0
294,2,4,1,0,3,3,4,3,3
295,1,0,1,2,2,3,0,0,0
296,0,0,0,3,2,1,3,4,1
297,0,2,0,3,2,1,2,4,0
298,0,3,1,3,0,3,0,4,4
299,0,1,0,2,1,3,4,1,4
300,0,1,0,2,1,2,0,0,4
301,1,3,1,4,1,1,4,0,0
302,0,3,1,2,4,0,0,1,2
303,2,4,0,2,3,3,3,1,4
304,1,1,1,3,3,3,2,2,2
305,2,0,1,0,0,0,0,2,1
306,2,3,1,4,3,4,1,2,3
307,0,0,0,0,0,3,4,1,3
308,2,1,1,2,0,0,0,0,4
309,0,1,1,0,3,4,0,4,4
310,1,3,0,4,4,4,1,2,4
311,1,0,0,2,1,4,2,2,1
312,1,0,1,1,4,0,1,1,4
313,0,4,0,1,0,1,1,1,2
314,2,2,1,2,3,4,4,3,2
315,1,1,0,2,3,3,4,3,1
316,2,3,0,1,2,4,4,0,1
317,2,1,0,3,4,0,4,2,0
318,1,2,0,0,3,1,0,2,3
319,2,1,1,4,3,0,4,2,0
320,2,1,0,3,0,3,0,4,0
321,1,4,1,2,4,1,2,2,3
322,2,2,1,0,0,0,4,2,2
323,0,2,1,2,3,2,2,3,0
324,2,2,1,1,3,3,4,3,3
325,0,1,0,2,0,2,3,2,4
326,1,1,1,3,4,3,3,4,0
327,2,3,1,1,1,2,4,4,2
328,2,2,0,1,3,1,2,4,4
329,0,1,1,2,1,0,0,2,0
330,1,4,0,4,1,4,0,0,2
331,0,3,0,2,4,0,3,4,1
332,2,3,1,4,4,1,0,3,3
333,0,0,0,4,3,3,2,0,1
334,1,1,1,0,2,2,1,1,2
335,1,1,1,0,2,2,2,1,0
336,1,0,1,3,2,3,4,0,4
337,0,1,0,4,3,2,4,1,1
338,1,4,1,0,1,1,4,3,3
339,2,1,0,4,3,4,3,4,3
340,1,2,0,3,3,4,1,4,1
341,2,3,0,2,1,2,3,1,0
342,2,0,1,3,2,4,0,2,2
343,2,1,0,0,0,0,1,3,1
344,1,4,0,2,2,4,0,4,0
345,2,2,0,3,1,1,1,3,4
346,2,3,1,4,4,3,4,2,1
347,1,1,1,4,4,0,2,1,2
348,0,3,1,3,1,1,2,0,1
349,0,4,0,3,1,0,1,3,2
350,1,2,1,2,2,3,0,4,4
351,0,3,0,2,4,2,4,3,4
352,1,2,1,1,4,3,3,3,1
353,0,1,0,2,0,0,2,4,3
354,1,1,0,3,2,1,1,0,4
355,1,0,0,1,4,1,0,0,1
356,0,0,1,4,3,0,4,0,1
357,2,1,0,0,1,3,1,3,4
358,0,1,1,0,4,0,4,4,2
359,0,2,1,3,3,1,2,4,0
360,0,0,0,3,4,2,2,1,4
361,0,2,0,1,3,2,3,3,1
362,1,3,1,0,1,2,4,1,3
363,0,3,1,0,2,3,4,1,1
364,1,1,1,3,2,2,1,3,3
365,1,4,0,0,3,1,4,0,4
366,0,4,0,0,1,2,0,0,0
367,2,2,1,1,4,3,3,3,2
368,1,1,1,4,1,4,0,3,2
369,1,0,0,2,1,2,3,4,3
370,1,0,0,4,3,0,1,2,2
371,1,1,0,0,3,0,1,3,3
372,1,4,1,3,3,3,4,3,2
373,2,1,0,4,4,3,4,2,2
374,1,1,1,4,2,1,3,1,1
375,1,1,1,0,1,0,1,3,1
376,1,0,0,4,1,1,1,0,3
377,1,4,0,2,4,3,2,1,3
378,0,2,0,3,2,1,3,2,4
379,1,2,0,3,3,2,1,2,4
380,2,4,1,4,2,1,4,3,4
381,1,2,0,0,1,2,2,0,0
382,0,3,1,2,4,3,0,2,3
383,1,2,0,3,3,4,2,4,4
384,0,0,1,0,1,2,4,3,4
385,0,4,1,4,4,2,1,0,4
386,2,2,0,0,4,0,4,2,2
387,1,4,0,1,2,3,1,4,0
388,0,1,1,0,3,4,1,1,2
389,0,4,0,4,1,1,0,3,3
390,2,1,0,0,4,4,1,1,4
391,1,1,1,1,1,2,4,1,1
392,0,4,0,2,0,0,1,3,3
393,1,2,1,2,4,3,3,0,2
394,0,0,1,2,1,0,4,2,2
395,2,2,0,2,1,0,4,2,1
396,1,2,1,1,0,0,4,1,2
397,2,3,1,2,4,0,0,0,4
398,1,0,1,0,4,2,0,4,3
399,2,4,0,4,4,4,3,0,1
400,2,3,0,1,2,4,2,0,0
401,1,3,1,1,3,4,3,1,4
402,1,1,1,0,3,3,4,3,2
403,0,1,0,0,3,2,2,4,3
404,2,3,1,4,2,3,2,2,4
405,1,0,0,0,2,2,1,0,2
406,0,3,1,3,1,3,2,2,1
407,0,1,1,2,2,1,0,2,3
408,0,1,1,1,1,1,4,3,3
409,2,1,1,3,1,1,3,4,0
410,2,3,0,0,1,1,0,1,0
411,1,0,0,2,0,3,3,1,4
412,2,2,1,3,2,3,3,3,3
413,0,2,0,4,3,3,0,1,0
414,2,3,1,1,3,0,1,3,2
415,2,3,1,3,2,0,4,3,2
416,2,3,0,0,2,1,2,4,2
417,1,1,1,4,4,1,2,1,2
418,1,2,1,0,2,0,4,1,2
419,1,3,1,4,4,3,1,1,4
420,2,2,1,1,4,1,0,4,4
421,2,4,0,2,2,2,3,3,2
422,1,2,1,0,4,4,0,3,1
423,2,0,0,0,4,0,0,4,2
424,1,3,1,1,4,0,1,4,1
425,2,3,0,0,2,3,3,0,1
426,0,4,1,1,4,1,3,2,3
427,2,0,0,4,1,3,1,3,3
428,1,4,0,1,2,3,0,0,3
429,2,0,0,3,4,2,0,1,3
430,2,3,0,0,4,2,0,0,2
431,0,0,0,4,4,4,1,0,3
432,0,0,1,0,0,3,0,2,1
433,2,3,0,3,1,2,2,1,3
434,0,4,0,3,3,4,1,2,4
435,0,1,0,3,2,1,3,4,4
436,0,3,1,2,0,2,3,3,0
437,2,0,0,4,0,2,0,0,4
438,0,3,1,3,1,1,1,4,1
439,1,4,1,0,4,3,0,3,2
440,1,1,0,2,2,2,0,2,2
441,0,1,1,1,2,1,2,0,2
442,0,4,0,0,2,4,2,1,2
443,2,2,1,4,0,1,0,3,3
444,2,0,1,2,3,0,1,2,2
445,2,3,1,3,0,1,0,0,0
446,0,0,1,3,1,3,4,2,0
447,0,3,1,1,4,0,2,4,3
448,1,0,1,0,4,2,0,4,4
449,0,3,0,2,4,1,0,4,4
450,0,1,1,3,4,2,2,0,4
451,1,4,1,3,2,3,4,2,0
452,2,1,1,4,1,2,4,3,3
453,2,1,0,4,4,4,1,2,3
454,2,2,0,2,0,0,0,0,2
455,1,1,1,3,4,2,3,1,4
456,1,3,1,3,0,3,1,2,1
457,1,4,1,4,4,3,0,4,0
458,2,0,0,2,4,1,1,3,2
459,2,1,0,3,1,4,3,2,4
460,1,3,1,3,0,0,0,1,3
461,0,0,0,1,4,3,3,1,0
462,1,2,0,0,2,4,4,2,0
463,2,3,0,3,2,4,0,4,3
464,0,3,0,1,3,3,1,2,1
465,1,0,1,3,1,2,4,3,1
466,1,4,0,3,1,0,3,1,2
467,0,4,0,3,4,4,4,4,3
468,2,0,0,2,4,0,2,0,2
469,1,0,0,2,1,4,0,1,1
470,2,2,0,2,3,3,3,4,1
471,0,0,0,3,0,3,1,4,0
472,2,3,1,3,2,3,2,2,4
473,0,1,0,4,4,1,2,4,3
474,0,2,1,2,2,1,4,1,2
475,2,1,1,3,1,3,4,3,3
476,0,1,1,3,3,4,4,4,2
477,2,0,1,3,1,4,1,0,2
478,0,3,0,3,1,1,0,2,4
479,2,3,1,0,3,2,3,1,0
480,1,3,0,3,3,3,4,2,1
481,1,4,1,0,1,4,1,2,0
482,0,2,0,0,4,2,3,3,0
483,0,3,0,3,4,4,3,2,2
484,2,3,0,2,0,4,1,0,3
485,1,3,0,4,2,4,0,0,4
486,1,4,1,3,3,4,0,2,2
487,2,4,1,3,3,2,4,2,3
488,2,4,0,1,2,4,3,4,0
489,2,0,0,3,3,1,0,3,3
490,1,3,1,0,2,3,0,3,3
491,1,2,0,0,2,2,0,3,2
492,2,0,1,3,1,0,2,3,3
493,2,3,0,1,0,1,2,4,0
494,2,0,1,0,4,1,0,0,2
495,0,3,0,0,4,2,0,1,0
496,2,4,0,1,2,1,4,1,3
497,0,0,0,3,3,0,3,0,1
498,0,1,1,1,0,0,1,4,0
499,1,0,1,2,2,0,1,2,1
500,1,3,0,2,2,4,1,1,3
501,2,2,0,4,3,3,2,3,0
502,1,4,1,3,3,0,0,4,1
503,2,1,1,2,4,2,0,4,3
504,1,1,1,2,3,0,0,0,3
505,2,4,0,4,2,2,0,3,1
506,2,3,1,0,3,0,1,2,4
507,1,3,0,2,0,3,0,0,4
508,1,4,1,2,4,3,4,3,4
509,0,2,0,0,2,1,0,1,3
510,2,0,1,0,0,0,0,4,3
511,0,0,1,4,2,0,0,2,4
512,1,1,1,3,1,2,4,2,0
513,2,3,1,2,3,4,3,1,1
514,0,1,1,2,1,0,1,2,0
515,0,0,1,2,2,3,0,1,1
516,2,1,1,0,4,2,2,2,2
517,1,3,0,0,1,3,4,1,3
518,2,1,0,0,1,1,3,1,0
519,0,3,0,1,3,1,2,0,0
520,1,2,0,4,0,0,1,1,0
521,1,3,0,0,4,4,1,3,0
522,0,3,1,3,3,1,4,1,0
523,1,0,0,0,4,0,3,4,4
524,0,3,1,1,4,3,4,4,0
525,1,2,1,0,0,2,2,2,3
526,1,1,0,4,1,2,4,1,4
527,2,0,0,2,0,2,4,4,0
528,1,0,1,1,4,4,0,4,3
529,2,0,1,0,0,0,4,0,1
530,1,4,0,1,0,2,1,1,3
531,2,3,1,1,2,2,0,0,1
532,1,3,0,1,3,2,0,0,3
533,1,3,1,4,4,3,3,2,1
534,2,4,1,2,4,1,1,3,3
535,2,3,1,2,1,3,1,4,4
536,1,3,1,1,1,2,3,1,1
537,2,3,0,0,2,2,2,0,2
538,2,2,1,3,4,0,3,1,3
539,0,4,0,0,4,4,0,4,3
540,1,1,0,1,2,2,4,4,1
541,1,3,0,4,2,1,2,0,2
542,0,4,1,0,4,1,2,2,4
543,1,1,1,4,4,4,2,0,4
544,2,0,0,3,0,2,4,4,3
545,0,0,1,3,2,1,1,0,4
546,2,4,0,4,0,2,3,2,1
547,0,2,0,0,3,4,1,4,3
548,2,1,0,0,3,2,4,4,2
549,0,0,1,2,2,4,2,1,0
550,2,4,0,0,3,1,1,3,4
551,0,3,0,3,1,4,1,1,1
552,2,0,0,4,1,2,4,3,0
553,0,2,0,3,0,2,0,1,4
554,0,2,1,0,4,3,1,2,3
555,2,2,0,2,2,2,4,4,0
556,0,2,0,2,2,2,3,0,1
557,2,2,1,0,4,0,1,3,3
558,2,0,1,2,0,0,3,4,2
559,2,1,0,2,3,1,1,3,2
560,2,4,1,0,4,1,4,0,3
561,2,1,0,0,4,0,4,3,3
562,1,4,0,1,0,4,0,0,4
563,0,1,1,2,4,1,4,1,3
564,1,3,1,4,0,1,0,3,0
565,1,4,1,2,4,2,3,1,2
566,0,1,1,2,3,1,0,0,0
567,2,1,0,3,1,1,4,2,3
568,1,1,0,2,2,3,4,1,2
569,0,2,1,2,1,3,4,4,0
570,0,2,1,2,3,0,1,0,4
571,1,3,1,3,2,1,4,1,3
572,1,4,0,4,1,4,2,0,1
573,0,4,0,0,2,3,0,3,4
574,1,3,1,3,0,2,2,4,2
575,0,4,0,0,0,3,1,3,2
576,0,3,1,4,2,2,4,2,3
577,2,1,1,0,1,4,2,1,0
578,0,4,1,4,3,1,2,1,2
579,2,1,1,4,3,3,4,1,0
580,1,0,0,4,3,1,3,3,3
581,0,1,1,3,4,3,0,0,3
582,1,0,0,2,4,0,2,2,1
583,0,0,0,0,0,2,3,2,3
584,1,2,1,3,1,2,1,0,4
585,2,2,0,0,3,0,1,4,4
586,0,0,1,4,0,4,4,4,4
587,2,4,0,0,1,2,4,2,3
588,2,1,1,3,2,3,2,2,3
589,0,1,1,1,1,3,1,1,0
590,1,3,1,2,1,2,2,3,0
591,0,3,1,0,4,4,1,3,4
592,0,2,1,2,2,2,3,4,2
593,0,4,1,1,1,2,4,3,3
594,1,3,1,3,4,2,2,2,0
595,0,3,1,4,1,1,4,3,4
596,2,2,0,4,3,3,4,0,0
597,2,3,1,1,1,2,3,4,3
598,0,1,0,4,4,2,3,1,3
599,0,2,0,1,2,1,4,1,3
600,0,0,0,1,4,4,0,0,0
601,2,4,0,1,1,3,0,1,2
602,0,3,1,4,3,4,1,2,1
603,2,3,0,2,0,1,4,3,3
604,1,3,1,4,3,2,1,0,0
605,2,1,1,2,4,0,1,2,1
606,0,4,0,0,4,3,2,1,1
607,0,1,1,0,3,1,4,3,0
608,1,0,1,4,4,3,2,1,3
609,0,3,0,4,3,2,3,0,3
610,1,4,0,2,1,0,1,0,2
611,1,3,0,2,2,2,3,3,1
612,1,0,0,3,2,0,1,1,2
613,0,2,0,1,0,1,2,2,3
614,2,2,0,2,2,0,2,3,3
615,2,0,1,0,4,0,4,4,2
616,2,3,0,2,3,0,3,4,1
617,2,1,1,1,2,0,4,3,3
618,1,4,1,2,1,0,2,0,2
619,2,1,0,4,4,0,2,2,3
620,0,2,0,0,1,3,1,0,3
621,1,4,1,4,1,3,1,1,0
622,1,4,0,1,2,3,2,4,3
623,1,4,1,2,1,0,4,4,1
624,1,2,0,3,2,1,2,4,0
625,0,0,1,3,0,1,0,2,3
626,2,3,0,3,1,0,1,1,1
627,2,1,1,4,0,0,3,4,0
628,1,0,1,0,3,2,2,2,3
629,1,2,1,1,3,4,3,1,4
630,1,3,0,4,2,4,2,4,3
631,0,2,0,0,1,2,4,0,3
632,1,3,1,1,4,4,3,3,3
633,0,2,1,4,0,0,4,4,4
634,0,0,0,4,4,0,0,1,1
635,2,4,1,2,2,3,0,4,3
636,0,1,1,2,0,0,1,1,3
637,1,3,0,4,4,1,0,0,4
638,0,3,1,4,0,3,3,0,4
639,1,1,0,0,4,0,4,0,4
640,2,3,1,2,3,4,4,4,3
641,1,0,0,2,1,0,1,4,2
642,2,2,1,2,4,4,2,2,4
643,1,1,0,1,3,3,4,3,4
644,0,4,0,0,0,3,2,1,4
645,1,2,0,0,4,3,4,1,4
646,0,0,0,4,3,0,4,4,1
647,1,0,0,2,0,2,4,0,4
648,0,4,0,0,0,2,0,1,2
649,1,3,1,2,2,0,0,4,1
650,0,2,0,1,3,4,2,2,0
651,0,3,1,4,0,2,2,4,0
652,1,0,0,0,4,4,0,2,4
653,2,2,1,2,3,3,1,4,0
654,0,3,0,3,2,1,0,2,3
655,0,4,1,2,1,1,3,3,0
656,2,1,1,1,3,2,1,3,0
657,1,0,0,2,4,2,0,1,1
658,1,3,0,2,4,4,4,2,0
659,1,4,0,0,4,2,4,0,0
660,2,4,0,1,0,3,1,3,4
661,1,1,0,0,2,1,3,3,3
662,2,2,0,4,3,0,2,0,4
663,2,0,1,0,0,3,3,2,2
664,0,2,1,2,1,4,3,0,0
665,2,1,1,1,3,1,3,0,0
666,0,2,1,4,3,4,0,1,0
667,1,4,1,1,4,2,3,2,0
668,0,4,1,0,4,3,1,3,2
669,0,4,0,0,0,0,4,0,4
670,1,3,1,4,1,4,0,1,4
671,1,2,1,3,4,4,3,4,0
672,0,4,0,4,2,1,4,3,0
673,0,4,1,3,0,2,2,1,1
674,0,4,0,3,1,4,0,3,4
675,2,1,1,0,0,4,3,0,1
676,1,4,1,3,3,4,1,4,1
677,0,4,0,4,0,2,3,1,3
678,0,0,0,1,4,2,2,2,0
679,1,3,0,3,1,1,4,1,1
680,2,3,0,0,1,1,3,2,2
681,1,1,0,3,2,0,3,3,1
682,0,1,1,4,1,4,4,1,3
683,1,3,0,4,4,4,4,3,3
684,2,4,1,2,0,2,0,0,0
685,2,2,0,3,1,4,0,2,2
686,0,4,1,0,3,0,2,4,1
687,2,2,0,3,4,0,3,2,2
688,1,2,1,2,3,4,1,0,3
689,1,4,0,0,3,0,1,4,3
690,2,0,0,3,4,4,4,3,4
691,0,1,1,2,4,2,2,1,4
