ug_course,ug_specialization,interests,skills,ug_score
bcom,accounting business and management,digital marketing; financial analysis; research; sales and marketing,artificial intelligence; business knowledge; communication; critical thinking; negotiation,85.69
mba,marketing,sales and marketing,business knowledge; communication; people management; product knowledge; sales; social media marketing,72
be btech,civil engineering,product lifecycle management,agile methodologies; business development; c; digital marketing; metrics; microsoft officebentley inroadsproduct requirements; product innovation; product management; research; usability testing; user experience ux; user stories,72.675
be btech,electrical and electronics engineering,technology,industrial control; inverters; matlab; plc; power electronics; simulink; switchgear; variable frequency drives,79.8
bsc,computer science,data analytics; technology,c; communication; editing; people management; programming language skills; sql,78
be btech,computer science engineering,web development,active listening; critical thinking; gathering information; hardware; programming language skills,71
be btech,computer science engineering,supply chain; technology,analytical thinking; artificial intelligence; machine learning; python; sql,85
be btech,civil engineering,construction; construction management; data analytics; data science; financial analysis; interior design; project management,communication; construction management; gathering information; javascript; people management; problem solving; python; sales,68.495
law hons,statistics,human behavior,active listening; civil criminal law; machine learning; negotiation; people management,61.4
be btech,law,entrepreneurship; research; sales and marketing; technology,analytical thinking; logical thinking; product knowledge; team work,68.4
be btech,mechanical engineering,government job; research; supply chain; technology,active listening; artistic creative skills; client management; communication; critical thinking; editing; gathering information; hardware; hospitality; human resources; leadership; mass communication; negotiation; people management; presentation; problem solving; product knowledge; risk management skills; social media marketing; writing,72.675
be btech,electrical and electronics engineering,research; teaching; technology; trading,accounting; active listening; communication; problem solving; product knowledge,52
be btech,electrical and electronics engineering,data science; human behavior; human biology; industry; market research; research; social media marketing; teaching; technology; trading,analytical thinking; critical thinking; matlab; medical knowledge; problem solving; programming language skills; python; teaching,62.26
be btech,mechanical engineering,market research; project management; sap mm,analytical thinking; business knowledge; finance related skills; presentation; problem solving; risk management skills,80.75
be btech,electrical and electronics engineering,data analytics,analytical thinking; artificial intelligence; data visualization; machine learning; python; r; social media marketing,63.9
be btech,mechanical engineering,content writing; social media marketing; trading; web design; web development,c; hadoop; informatica; java; javascript; sql,80.37
bcom,computer science engineering,financial analysis,accounting,91.2
be btech,accounting and finance,entrepreneurship,active listening; gathering informing; programming; python,88.35
law hons,agriculture,agriculture; excel; financial analysis; information technology; services; social causes,accounting; civil criminal law; finance related skills; negotiation; risk management skills,67
be btech,law,data analytics,javascript; python,73.15
bsc,electrical and electronics engineering,research,subject knowledge,52.25
be btech,physics,data analytics,javascript,65.55
be btech,computer science engineering,technology,python,70.3
be btech,computer applications,information technology; technology,cloud computing; communication; hardware; java; linux; presentation; problem solving; programming language skills; python; risk management skills; writing,71.25
bcom,computer science engineering,financial analysis,communication; companies act; company secretarial work; indirect taxation; interpersonal skills; legal compliance; presentation; team leadership; teamwork; time management,67.45
be btech,accounting and finance,data analytics; data science; design; government job; machine learning; navy defence related; oil and gas; teaching; technology,accounting; active listening; analytical thinking; communication; critical thinking; people management; problem solving; python; teaching,80.275
bba,electrical engineering,financial analysis,financial analysis; financial modeling,84.55
be btech,finance,biotechnology; human biology; research,bioprocess; cell culture; katte virus; microbiology; molecular biology,83.22
be btech,biotechnology,data analytics,analytical thinking; communication; excel; interpersonal skills; leadership; oracle; problem solving; reporting; sql; work under pressure,88.16
bcom,automobile engineering,information technology,cloud computing,47
bcom,accounting and finance,sales and marketing,accounting,76
be btech,data structures and algorithms,technology,gathering informing,73.15
biotechnology,biotechnology,entrepreneurship; human biology; research; technology,active listening; analytical thinking; critical thinking; negotiation; observation skills; presentation; problem solving; subject knowledge; writing,87
bcom,commerce,entrepreneurship,accounting; cost accounting; excel; writing,67.45
bcom,commerce,entrepreneurship,accounting,77
bms,management,sales and marketing,business knowledge; communication; creativity skills; excel; leadership; market research; negotiation; reading; sales; work under pressure; writing,0
be btech,computer science engineering,machine learning,c; css; design and prototype in adobe xd; html; java backend development; javascript for web developers; jdbc; object oriented programming; problem solving; responsive web design; string stringbuffer and stringbuilder in java,84.55
ballb,law,social causes; social justice,civil criminal law,74.1
bsc,zoology,data analytics; data science; human biology,artistic creative skills; data visualization; leadership; machine learning; problem solving; programming language skills; python; r; social media marketing,72
be btech,mechanical engineering,content writing; data analytics; supply chain,accounting; active listening; content creation; gathering information; programming language skills; wealth management,53
bsc,computer science engineering,human behavior; human biology,active listening; creativity skills; critical thinking; designing skills; editing; excel; leadership; logical thinking; problem solving; sql; team work,83
be btech,electronics and communication engineering,data analytics,data visualization; matlab; python; r; sql,80
law hons,law,social justice,civil criminal law,73
be btech,civil engineering,construction; construction management,etabs; proeficiency in software like staad pro,83.41
bca,programming,data analytics; information technology; web design; web development,active listening; artistic creative skills; c; communication; gathering information; leadership; problem solving; programming language skills; writing,85.5
mca,computer science,data analytics; data science; research; technology; web development,active listening; c; gathering information; java; programming language skills,69
bsc,microbiology,human biology; technology,designing skills; leadership; observation skills; presentation; team work; writing,83.6
be btech,electrical and electronics engineering,entrepreneurship; sales and marketing; teaching,leadership; machine learning; sql; tableau; writing,60.8
bsc,computer science engineering,data analytics; technology,active listening; communication; machine learning; programming language skills; python,67
bcom,taxation,financial analysis; human behavior; journalism; social justice; teaching; technology; trading,accounting; business knowledge; civil criminal law; communication; critical thinking; data visualization; finance related skills; hardware; leadership; machine learning; mass communication; problem solving; python; risk management skills; sales; sql,55
bcom,taxation,data science; financial analysis; government job; journalism; social causes; social justice; teaching; technology; trading,accounting; business knowledge; civil criminal law; communication; critical thinking; data visualization; finance related skills; hardware; leadership; machine learning; problem solving; python; sql; teaching,55
bsc,biotechnology,human behavior; research; trading,analytical thinking; artificial intelligence; artistic skills; critical thinking; logical thinking; machine learning; presentation; python; team work; work under pressure,70
be btech,business administration,entrepreneurship; financial analysis; research; sales and marketing; trading,active listening; leadership; market research; mass communication; reading; sales; team work; writing,68.4
bcom,taxation,sales and marketing,sales,60
bba,commerce,construction; construction management; financial analysis; journalism; sales and marketing; social causes,communication; finance related skills; leadership; people management; sales; social media marketing,67
be btech,mechanical engineering,data analytics; data science; design; financial analysis; industry; market research; product lifecycle management; research; sales and marketing; sap mm; service; supply chain; technology; trading,active listening; artistic creative skills; aws; business knowledge; communication; critical thinking; gathering information; hardware; people management; problem solving; product knowledge; risk management skills,63.08
be btech,electronics and telecommunication engineering,financial analysis,analytical thinking; c; cloud computing; java; linux; programming language skills; sql,66.5
be btech,civil engineering,data science; design; research,analytical thinking; communication; etabs; proeficiency in software like staad pro; python; teaching,78.28
diploma,electrical and electronics engineering,industry,active listening,62.985
be btech,electronics and communication engineering,data analytics; data science; trading,active listening; cloud computing; leadership; people management,59
ba,history,information technology; salesforce; sports industry,designing skills; hardware; leadership,64
be btech,computer science engineering,data science; web design,active listening; cloud computing; communication; critical thinking; java; programming language skills,66.5
be btech,mechanical engineering,human biology; teaching; technology,active listening; analytical thinking; gathering information; interpersonal skills; leadership; machine learning; medical knowledge,66.88
be btech,electrical and electronics engineering,software development,analytical thinking; artificial intelligence; c; machine learning; programming; python; sql,66.5
be btech,civil engineering,design; teaching,civil criminal law; finance related skills; gathering information,66
be btech,electronics and communication engineering,teaching,active listening; presentation; reading; team work; work under pressure,65.55
be btech,computer science engineering,data science; machine learning; social causes; web development,ajax; angular; bootstrap; codeigniter; javascript; jira; jquery; loopback; node js; php; trello,72.2
bms,business administration,entrepreneurship; sales and marketing,business knowledge; communication; logical thinking; people management; problem solving; reading; sales,61.56
bsc,mathematics,government job,teaching,60
bsc,biotechnology,human behavior; research; sales and marketing; teaching; trading,active listening; business knowledge; client management; communication; critical thinking; hospitality; leadership; people management; problem solving; risk management skills; writing,61.75
pharmacy,hospitality,hospitality,accounting; business knowledge; designing skills; editing; excel; sales,84.55
bsc,physics,content writing; government job; journalism; social justice,accounting; analytical thinking; artistic creative skills; critical thinking; gathering information,67
be btech,biotechnology,biotechnology; human biology; research,life sciences; molecular biology; molecular biology protein purification; polymerase chain reaction pcr; protein assays; protein characterization; protein chemistry; protein chromatography; protein electrophoresis; protein engineering; protein kinases; protein structure; protein structure prediction; western blotting,70.015
be btech,artificial intelligence,data analytics,machine learning; programming language skills; python,76
bsc,information technology,technology,active listening; critical thinking,70
bsc,mathematics,journalism,communication; leadership; problem solving; subject knowledge,75.05
be btech,biotechnalogy,biotechnology; human biology; research,biochemistry; bioinformatics; cell culture; chemometrics; dna; life sciences; metabolomics; molecular biology; pcr; phytochemistry; polymerase chain reaction pcr; protein expression; protein purification,84.075
bsc,zoology,teaching,business knowledge; communication; observation skills,72.2
journalism,public relations,content writing; journalism,artistic creative skills; mass communication,64
ba,political science,teaching,teaching,60
bsc,mathematics,research; technology,java; oracle; python; sql,57.95
be btech,information technalogy,data science,leadership; python; r; sql,54.44
bsc,statistics,software development,analytical thinking; creativity skills; critical thinking; derivatives; excel; interpersonal skills; logical thinking; observation skills; python; team work; work under pressure,74.86
bba,human resources,financial analysis; human behavior; sales and marketing; trading,active listening; communication; finance related skills; human resources; interpersonal skills; negotiation; people management,76.95
be btech,civil engineering,design; industry; interior design; teaching; technology; trading,active listening; artistic creative skills; business knowledge; critical thinking; gathering information; hardware,71
bsc,mathematics,financial analysis; sales and marketing; teaching,logical thinking; team work; writing,80.655
mba,marketing,financial analysis; gaming; human behavior; human biology; sales and marketing; supply chain; technology,accounting; artistic creative skills; business knowledge; client management; communication; finance related skills; leadership; negotiation; people management; problem solving; risk management skills; sales,69
be btech,mechanical engineering,sap mm; supply chain; technology,business knowledge; leadership; people management; problem solving; sap,70.6
be btech,electrical and electronics engineering,software development,java; python,78.85
be btech,mechanical engineering,technology,excel; interpersonal skills; presentation; subject knowledge,65
be btech,computer science engineering,information technology; social media marketing; web design; web development,communication; foreign languages french; leadership; linux; problem solving; programming language skills; spanish; sql,84.55
bcom,accounting and finance,financial analysis,accounting,38
be btech,computer science engineering,software development,no,76
be btech,electronics and communication engineering,information technology,editing; problem solving; python; team work; writing,74.3
be btech,electronics and communication engineering,entrepreneurship; technology,python; sql; work under pressure,57.57
be btech,electronics and communication engineering,software development,no,76
be btech,mechanical engineering,software development,visual effects,73.15
be btech,civil engineering,technology,civil criminal law; communication; sales,74.67
be btech,mechanical engineering,software development,no,73.15
be btech,automobile engineering,technology,java; linux; oracle; problem solving; programming; python; sql; subject knowledge; team work,83.6
be btech,mechanical engineering,government job,communication,71.82
be btech,mathematics,web development,leadership; programming language skills,65.55
be btech,mechanical engineering,technology,designing skills,68.4
bba,business administration,entrepreneurship,business knowledge; creativity skills; interpersonal skills; leadership; logical thinking; negotiation; people management; problem solving; work under pressure,87.4
be btech,computer science engineering,design; human behavior; technology; trading,artistic creative skills; critical thinking; designing skills; leadership; problem solving; product knowledge,61.75
bba,human resources,data analytics; financial analysis; gaming; human behavior; research; technology,accounting; business knowledge; communication; data visualization; human resources; people management; product knowledge; sql,50.635
bsc,computer science engineering,entrepreneurship; teaching; technology,accounting; business knowledge; creativity skills; excel; leadership; people management; presentation; problem solving; programming; reporting; team work,58
bca,computer science,content writing; digital marketing; research; technology; web design,active listening; artificial intelligence; artistic creative skills; c; cloud computing; communication; content creation; critical thinking; designing skills; gathering information; java; linux; presentation; problem solving; programming language skills; sql; writing,76.89
bsc,statistics,content writing; data analytics; data science; financial analysis; gardening; human behavior; human biology; market research; research; sales and marketing; social causes; social media marketing; supply chain; technology; trading; web design; web development,accounting; active listening; analytical thinking; architecture; civil criminal law; cloud computing; communication; content creation; critical thinking; data visualization; designing skills; finance related skills; gathering information; interpersonal skills; java; machine learning; presentation; problem solving; programming language skills; python; r; risk management skills; sales; social media marketing; sql,66
bca,computer applications,data analytics; data science; machine learning; technology; web design; web development,aws; java; javascript; programming language skills; python; sql,74.29
be btech,mechanical engineering,oil and gas,client management; communication; critical thinking; negotiation; people management; refinery operations,80.75
be btech,civil engineering,entrepreneurship; human behavior; trading,analytical thinking; creativity skills; excel; people management; reading,76
be btech,mathematics,interior design,critical thinking; editing; programming language skills,63.65
bca,computer applications,data analytics; technology,accounting; active listening; communication; interpersonal skills; problem solving; writing,80
be btech,automobile engineering,sports industry; technology,client management; communication; gathering information; java; people management; problem solving; product knowledge,67.45
bsc,microbiology,research,biochemistry; bioinformatics; biophysics electron microscopy; cell biology; cell culture; chromatography; chromatrography; cryo em; enzyme kinetics; microscopy; molecular biology; molecular cloning; polymerase chain reaction pcr; protein chemistry; protein expression; protein purification; static light scattering; western blotting; x ray crystallography,84.265
be btech,computer science engineering,data analytics; technology; web design,c; communication; java; python; sql; writing,79
be btech,computer science,web development,problem solving; programming language skills,87.685
ba,general,government job; human behavior; human biology; industry,active listening; communication; hardware; negotiation,72
be btech,computer science engineering,web design,communication; critical thinking; designing skills; finance related skills; leadership; people management; social media marketing,80.655
be btech,civil engineering,construction; industry; sap mm,etabs; proeficiency in software like staad pro,65.55
be btech,civil engineering,construction; construction management; project management; urban planning,active listening; analytical thinking; communication; critical thinking; etabs; finance related skills; gathering information; proeficiency in software like staad pro; sap,77.615
bsc,physics,social justice,business knowledge; sales,74.1
be btech,mechanical engineering,technology,ansys; artificial intelligence; caesar ii; catia; derivatives; editing; excel; leadership; machine learning; market research; negotiation; news gathering; python; solidworks; sql; tableau; team work; work under pressure,67.545
be btech,mechanical engineering,technology,business knowledge; leadership; market research,80.75
bsc,physics,social justice,leadership,74.1
mba,business administration,financial analysis; sales and marketing,accounting; business knowledge; product knowledge; sales,60
be btech,computer science engineering,data analytics; data science; technology,analytical thinking; artistic creative skills; critical thinking; java; machine learning; programming language skills; python; sql,68.4
be btech,political science,technology,designing skills; excel; team work,66.5
bsc,zoology,government job; human behavior; journalism,gathering information,61
be btech,structural engineering,data analytics; data science; design; infrastructure; technology,active listening; critical thinking; hardware; mass communication; python; r,65
bsc,computer science,web design,accounting; active listening; designing skills; human resources; matlab; problem solving; programming language skills; python; r; sql,65
bsc,computer science engineering,government job; human behavior; human biology; research; social justice,active listening; artistic creative skills; c; communication; gathering information; human resources; java; leadership; linux; people management; programming language skills,60
bcom,accounting and finance,data entry or telecalling work,excel; team work; writing,58 
mba,computer science engineering,data analytics; financial analysis; technology,analytical thinking; data visualization; machine learning; problem solving; programming language skills; python; sql,58.9
be btech,electrical and electronics engineering,data analytics; technology,analytical thinking; artificial intelligence; business knowledge; communication; critical thinking; data visualization; machine learning; programming language skills; python,78.47
ba,english,design; government job; research; sports industry; teaching,designing skills; leadership; people management; social media marketing; writing,83
be btech,electronics and communication engineering,data analytics,no,78.85
bcom,finance,financial analysis,business knowledge,61
be btech,mechanical engineering,data analytics; data science; technology,analytical thinking; communication; java; leadership; people management; problem solving; programming language skills; python; sql; teaching,60
be btech,civil engineering,technology,designing skills; observation skills; people management,85
be btech,mechanical engineering,design; industry; product lifecycle management; research; technology,analytical thinking; communication; designing skills; presentation; problem solving; product knowledge; risk management skills; writing,74.1
be btech,production engineering,data analytics; data science; financial analysis; supply chain; technology,designing skills; python,66.5
be btech,civil engineering,agriculture; construction management; excel; government job; services,cad cae autocad catia ansys proe seimensnx; construction management; designing skills; writing,63
be btech,automobile engineering,technology,designing skills; excel; interpersonal skills; leadership; mass communication; presentation; problem solving; reading; reporting; risk managing; team work; work under pressure; writing,76.095
be btech,computer science engineering,all fields related to data science machine learning; data science; social causes; web development,angularjs; c; css; data structure; html; java enterprise edition; javascript; jquery; python; react; ssis; ssms,67.45
mca,computer applications,technology,critical thinking; leadership; programming language skills,62
be btech,computer science engineering,data science; machine learning; social causes; web development,ajax; angular; c; cakephp; codeigniter; css; git; html; java; javascript; jquery; laravel; linux; mysql; software development; sql; symfony; web development; xml; yii2,76
bca,programming,information technology,c; communication; writing,86
bsc,physics,journalism; research; sales and marketing; social justice; teaching,analytical thinking; artistic creative skills; communication; gathering information,68.4
be btech,electronics and communication engineering,research; technology,python; sql,74.1
be btech,electronics and communication engineering,data analytics; social media marketing,analytical thinking; artistic creative skills; business knowledge; communication; gathering information; presentation; problem solving; writing,68.21
be btech,civil engineering,construction; construction management,etabs; proeficiency in software like staad pro,79.42
be btech,mechanical engineering,data science,analytical thinking; business knowledge; data science; excel; leadership; machine learning; problem solving; python; r; team work,63.9
be btech,engineering,design; gardening; government job; human biology; sales and marketing; web design,active listening; artistic creative skills; business knowledge; c; communication; designing skills; gathering information; interpersonal skills; leadership; negotiation; people management; presentation; problem solving; programming language skills; risk management skills; writing,75
be btech,electronics and communication engineering,data analytics; data science; technology,artificial intelligence; linux; machine learning; programming language skills; python; sql,80.75
be btech,engineering,journalism; technology,analytical thinking; critical thinking; excel; gathering informing; logical thinking; negotiation; problem solving; team work; work under pressure,82.46
be btech,computer science engineering,content writing; technology; web development,business knowledge; communication; problem solving; programming language skills,65
be btech,mechanical engineering,web design,communication; java; leadership; problem solving,76.38
be btech,mechanical engineering,data science; technology; web development,communication; java; programming language skills; sql,75.39
be btech,history,trading,java; programming,72.2
be btech,computer science engineering,data science; technology; trading,analytical thinking; communication; critical thinking; gathering information; problem solving; programming language skills; sql,66.595
be btech,electronics and communication engineering,technology,c; cloud computing; communication; critical thinking; linux; presentation; problem solving; programming language skills; risk management skills,76.095
bba,physics,teaching,civil criminal law,66.5
be btech,automobile engineering,data analytics; data science; gaming; human behavior; human biology; research; teaching; technology,active listening; analytical thinking; artistic creative skills; business knowledge; communication; critical thinking; data visualization; gathering information; leadership; machine learning; negotiation; people management; presentation; problem solving; python,60
bsc,computer science,data analytics; data science; digital marketing; social media marketing; technology; web design; web development,active listening; analytical thinking; artistic creative skills; communication; critical thinking; linux; python; sql,81.7
bcom,accounting and finance,content writing; data analytics; data science; financial analysis; human behavior,accounting; active listening; analytical thinking; business knowledge; communication; critical thinking; data visualization; finance related skills; gathering information; machine learning; presentation; problem solving; python; sql,57
be btech,automobile engineering,technology,communication; java; presentation; programming; sql; team work,77.615
be btech,information technology,human biology; research; social justice,reading; writing,73.625
be btech,electrical and electronics engineering,entrepreneurship; financial analysis; technology,aws; business knowledge; java; linux; machine learning; python,66.5
be btech,computer science engineering,app development,c; javascript; php,83.6
bsc,other,government job,artistic creative skills; content creation; leadership,60
ba,english,information technology,programming language skills,71.25
bca,computer applications,content writing; teaching; technology; web design,active listening; c; cloud computing; communication; content creation; data visualization; gathering information; java; leadership; medical knowledge; problem solving; programming language skills; risk management skills; sql; writing,76
pharmacy,zoology,human biology,excel,73
be btech,mechanical engineering,service,accounting; active listening; hardware; human resources; sales; social media marketing,59.09
be btech,mechanical engineering,technology,communication; critical thinking; sap,75
bcom,accounting and finance,financial analysis,accounting; finance related skills,65
be btech,automobile engineering,entrepreneurship; sales and marketing,communication; creativity skills; leadership; people management; python; team work; work under pressure,83.125
bcom,commerce,interior design,artistic creative skills,75
be btech,automobile engineering,industry; machine learning; manufacturing,technical machine fitter,58.9
be btech,electrical and electronics engineering,government job,python,73.72
be btech,electronics and telecommunication engineering,data science; machine learning,c; net; python; sql,85.5
be btech,electrical and electronics engineering,data analytics,no,76
bcom,commerce,financial analysis,accounting; analytical thinking; business knowledge; creativity skills; critical thinking; excel; interpersonal skills; leadership; logical thinking; presentation; problem solving; product knowledge; reporting; risk managing; team work; work under pressure,76.95
be btech,programming,technology; trading,active listening; excel; logical skills interpersonal skills; presentation; programming; reading; teamwork; work under pressure,70.3
bba,civil engineering,data analytics; financial analysis; sales and marketing,accounting; communication; editing; negotiation; presentation; wealth management,72
be btech,finance,technology,machine learning; python; sql,68.4
be btech,computer science engineering,entrepreneurship; technology; trading,active listening; analytical thinking; business knowledge; observation skills; presentation; reading; risk managing; subject knowledge; team work; work under pressure; writing,74.1
