Sleep_Hours,Sleep_Quality,Physical_Activity_Min,Diet_Quality,Stress_Level
7.2,0,22,1,6
7.5,1,21,0,4
6.5,3,28,1,2
8.8,2,30,1,4
6.2,2,13,1,2
8.0,1,6,0,9
7.8,3,26,0,4
5.1,2,23,0,5
6.1,2,6,0,6
5.1,2,19,1,8
4.1,1,18,2,3
7.7,1,32,1,4
7.2,0,23,1,6
7.0,0,25,1,2
6.0,0,11,2,8
6.4,0,42,1,3
10.0,2,47,1,2
7.3,0,36,1,5
7.3,0,42,1,6
6.1,1,0,1,2
7.7,0,22,1,1
7.1,2,12,0,6
5.9,0,22,1,3
7.2,0,34,1,3
7.3,2,48,2,2
8.5,0,0,1,2
7.0,0,33,1,2
7.1,2,29,1,1
8.6,2,0,1,7
5.7,2,3,1,2
6.2,3,19,0,3
6.9,2,30,0,7
5.9,0,26,1,5
10.0,1,51,0,7
7.3,0,59,0,7
5.7,0,28,1,4
9.6,1,71,1,1
6.3,0,9,0,3
5.0,0,29,0,4
8.5,2,56,0,1
5.8,0,35,1,5
8.1,0,46,0,3
6.1,1,25,1,2
9.2,3,44,1,3
9.4,1,26,2,1
7.0,0,13,1,6
7.4,3,36,1,2
5.0,3,35,1,7
7.3,0,2,1,5
4.4,0,41,1,2
7.0,2,32,0,3
8.5,2,24,1,8
4.2,2,69,1,1
6.4,0,28,1,5
4.4,0,31,0,8
5.5,2,11,1,3
6.3,0,0,1,4
10.0,0,54,1,3
6.1,1,48,1,1
4.7,3,34,0,5
4.8,1,54,0,4
6.0,0,56,1,6
5.4,2,25,1,1
5.7,3,0,1,6
6.4,2,10,1,5
6.3,3,52,0,3
5.4,1,21,0,5
6.0,1,43,0,1
7.6,0,35,1,3
5.6,1,26,1,3
7.8,2,29,1,4
4.5,1,67,1,6
6.8,2,16,1,4
6.9,0,39,1,5
7.9,1,23,0,4
7.7,3,15,1,2
7.2,3,19,1,6
4.7,0,44,1,7
7.0,2,34,2,6
6.2,2,22,0,8
5.7,3,30,1,3
4.6,2,30,2,7
3.9,0,41,1,4
9.0,0,23,1,3
5.6,2,18,1,6
7.2,0,24,1,3
9.3,2,33,1,4
7.5,1,39,1,4
6.9,2,43,1,6
8.1,0,59,0,4
6.1,2,47,1,4
7.9,1,46,0,7
8.7,0,11,1,1
6.1,0,35,1,7
8.5,3,51,0,1
5.8,0,39,1,3
3.0,1,24,0,9
6.6,0,44,1,4
6.0,1,34,0,4
7.1,3,35,0,6
8.4,2,18,1,1
8.3,1,41,0,5
7.6,2,44,1,1
6.4,2,43,0,5
7.6,3,26,1,2
9.6,1,29,1,1
6.0,3,33,1,3
6.9,2,48,0,6
7.4,0,30,0,5
7.8,2,38,1,3
8.1,2,19,1,7
6.7,2,53,1,7
8.2,2,39,1,1
6.6,1,22,1,9
4.5,2,17,1,7
8.8,2,37,2,6
6.2,0,48,1,3
4.7,0,1,1,5
7.7,0,44,1,2
5.8,2,30,1,3
5.0,2,7,1,8
4.3,3,49,0,7
9.5,3,34,1,6
9.3,0,37,2,7
8.1,1,30,1,1
6.9,0,23,0,3
10.0,0,6,1,3
9.0,2,11,1,3
7.5,2,16,1,4
8.2,0,46,0,4
4.5,2,65,0,8
6.2,1,31,1,1
7.3,1,37,1,1
7.5,3,44,1,5
6.7,0,7,1,5
8.0,1,35,1,7
6.6,2,13,1,6
5.0,0,46,1,5
8.0,0,37,1,6
7.4,1,10,0,7
7.9,0,17,2,5
7.1,0,36,1,7
6.3,0,52,0,1
5.2,3,39,0,3
5.7,0,3,0,5
4.6,0,30,1,3
5.5,0,2,1,2
9.0,2,44,1,3
9.3,1,61,1,2
7.5,3,31,1,7
7.9,2,54,1,6
7.1,2,12,1,4
6.6,2,0,1,2
8.4,0,15,1,2
7.4,2,38,1,6
8.6,3,40,1,2
6.3,3,59,0,4
5.8,0,6,0,7
9.5,2,43,1,4
7.8,2,29,0,1
7.6,0,23,1,1
3.2,1,33,1,5
6.5,1,12,1,7
7.1,2,22,0,6
6.3,2,42,0,6
6.7,1,43,0,1
7.7,1,56,1,4
7.9,0,48,0,6
8.1,0,30,1,3
7.3,1,40,0,1
4.5,0,46,1,3
4.7,0,27,1,5
5.3,0,35,1,5
7.4,1,33,1,5
5.8,2,48,1,6
5.2,1,34,1,6
8.0,0,29,1,2
6.4,2,35,2,3
8.8,0,38,0,6
8.8,2,24,1,3
8.2,2,21,0,3
6.4,2,25,1,1
7.5,1,16,0,5
5.4,3,30,1,5
9.0,1,1,1,5
6.0,1,31,1,4
6.9,0,30,1,5
6.2,2,22,1,6
6.7,1,43,1,3
5.9,0,21,1,5
7.3,0,7,1,4
3.9,0,24,0,6
10.0,2,14,0,2
8.6,0,26,0,2
6.5,1,33,0,6
6.5,2,18,0,3
6.0,3,23,1,3
6.3,1,41,0,3
6.5,0,13,1,7
6.2,2,26,2,1
7.0,0,31,1,3
7.0,1,22,0,6
5.5,0,29,1,5
6.0,1,41,2,3
7.5,2,2,0,1
7.7,2,47,2,1
9.4,2,9,1,4
6.4,2,40,1,4
6.9,0,35,0,2
7.8,1,18,1,3
8.3,2,21,0,1
6.6,1,38,1,7
9.1,2,24,1,3
6.9,2,58,1,4
7.0,0,22,1,1
7.8,0,42,0,1
5.5,2,22,1,2
6.1,0,40,0,7
10.0,1,40,2,3
5.5,0,27,1,5
8.4,2,40,0,1
8.6,0,40,0,2
4.0,0,50,1,2
8.1,1,20,0,4
7.9,2,17,1,1
7.4,1,30,1,4
3.0,0,47,1,5
6.3,2,36,2,7
9.8,2,5,0,1
8.9,0,28,1,2
5.8,1,19,1,4
6.7,1,22,1,3
6.7,0,43,2,2
7.4,0,25,0,1
7.8,1,26,0,4
10.0,0,5,1,1
7.7,2,33,1,4
7.4,3,32,1,4
5.9,1,51,1,1
7.2,1,8,1,7
7.6,0,22,1,1
9.4,0,36,1,4
9.8,2,38,0,2
10.0,3,61,2,4
7.6,0,47,0,6
10.0,1,18,1,1
6.0,1,45,2,3
5.5,2,50,0,4
5.2,0,29,2,6
8.4,0,42,1,7
6.8,0,48,0,7
5.9,2,16,1,6
7.5,3,30,0,4
10.0,2,63,1,2
5.5,3,47,0,3
8.2,2,41,0,3
6.9,2,10,0,2
5.1,2,29,1,2
6.1,0,51,1,3
6.8,0,45,0,2
8.2,0,37,1,1
9.5,0,48,0,5
7.9,1,24,1,6
8.4,2,22,0,4
3.5,2,29,0,7
6.0,2,64,1,6
7.0,2,62,2,8
7.5,1,29,1,2
3.5,3,31,1,10
8.4,2,45,0,1
8.3,2,21,2,4
5.2,2,25,2,1
7.1,0,28,1,7
6.6,2,24,0,7
9.7,0,35,0,5
7.0,1,8,0,6
7.7,2,12,0,1
8.3,0,35,1,5
7.0,2,7,1,3
7.0,3,23,1,6
7.8,2,0,0,2
6.4,0,21,0,6
6.9,1,46,1,1
7.8,2,17,0,1
7.9,0,45,1,6
6.6,2,44,0,7
7.6,2,47,1,5
6.9,0,28,2,5
7.1,1,12,1,4
6.2,0,37,1,1
10.0,2,36,1,3
3.6,1,10,1,6
5.9,0,56,0,4
9.0,0,21,1,5
9.3,2,39,1,1
8.8,2,58,0,10
9.3,1,51,1,1
5.0,1,46,1,3
8.9,1,31,1,5
7.1,2,20,1,7
9.3,3,49,1,1
6.6,2,30,0,1
8.2,2,16,0,4
7.9,1,26,1,3
7.9,3,39,0,1
5.8,1,29,1,1
7.7,2,34,0,4
7.1,2,50,2,4
7.2,1,25,1,3
6.2,0,30,1,2
6.7,0,28,0,3
7.9,3,31,1,5
6.1,0,38,1,4
5.0,1,35,1,7
6.0,1,22,2,5
6.9,0,41,2,3
6.5,0,52,2,3
9.8,2,34,0,2
8.3,0,38,1,1
8.8,3,38,0,1
5.7,2,29,2,6
8.3,0,62,1,5
7.9,1,24,0,2
6.2,0,39,1,3
5.7,2,22,2,6
7.6,3,20,1,4
9.4,0,10,1,2
8.2,1,37,1,3
6.2,0,27,1,2
5.2,0,48,1,2
7.7,3,80,0,1
5.8,2,22,1,3
4.9,0,34,0,3
5.7,2,43,0,1
8.5,2,27,1,5
4.4,0,9,0,5
8.9,0,29,1,6
7.9,0,29,1,6
5.3,3,14,1,3
6.6,2,45,0,1
6.9,0,31,1,6
8.4,1,36,2,3
8.1,1,21,0,3
7.3,1,23,0,7
6.8,1,6,1,2
9.9,1,41,0,3
6.7,2,21,1,1
8.3,3,0,1,3
4.3,2,4,1,5
5.3,3,22,1,7
7.8,2,21,0,1
6.1,2,35,0,1
7.6,0,24,1,3
7.7,2,27,1,6
8.0,2,32,0,1
7.6,2,59,0,7
8.5,2,5,1,4
8.8,2,27,1,6
4.9,2,39,0,7
7.0,0,34,1,4
8.1,2,12,0,4
7.9,0,30,2,2
3.6,2,45,1,4
6.3,0,20,1,3
9.0,1,47,0,2
7.5,3,45,2,4
6.2,2,32,0,2
8.3,1,45,1,5
6.6,2,45,0,6
6.3,2,36,1,10
8.0,2,73,0,1
9.2,2,57,1,8
5.9,1,35,2,4
8.3,2,32,1,1
3.7,1,19,1,7
10.0,2,13,1,1
8.8,2,63,1,3
8.5,3,34,0,6
7.5,2,12,2,1
5.7,2,36,0,6
6.3,1,76,1,7
7.2,0,30,0,6
7.0,1,42,0,6
8.7,0,41,0,2
7.2,2,35,1,2
8.9,1,26,1,1
8.2,0,10,1,5
8.4,0,4,1,4
8.1,0,33,2,4
7.3,0,27,1,2
10.0,2,28,0,2
6.1,2,0,1,5
7.7,1,42,1,7
5.7,3,29,1,3
7.3,2,30,2,5
7.6,0,31,1,5
6.2,1,44,1,4
6.0,0,38,1,5
4.0,2,55,1,9
5.8,3,17,1,1
6.8,0,21,1,1
8.5,1,14,2,5
7.9,0,22,1,2
9.5,2,55,0,1
7.1,1,17,1,5
6.2,1,43,0,8
8.4,0,27,1,4
6.2,0,35,1,7
7.4,0,17,0,4
4.6,2,7,0,5
5.2,2,8,2,7
8.1,2,30,2,4
5.9,3,16,1,4
7.2,2,45,1,5
7.3,0,20,0,1
3.1,2,35,1,7
7.2,1,53,1,6
6.3,1,65,1,2
4.0,2,23,0,9
5.3,1,34,1,1
5.5,2,7,0,5
5.4,2,24,1,4
6.0,2,44,1,1
6.1,1,33,1,2
7.8,0,41,0,6
5.6,0,35,0,5
9.1,2,16,1,5
8.1,1,16,1,6
6.2,0,1,0,4
5.6,0,15,1,3
7.4,0,10,2,2
6.4,2,22,0,6
4.3,2,35,1,3
9.8,2,38,1,1
5.8,0,27,2,6
7.5,2,14,2,5
9.8,2,35,1,2
5.4,0,28,1,9
6.6,0,26,1,7
6.8,1,50,1,7
5.5,2,0,1,1
7.5,1,29,0,4
7.2,1,33,1,2
5.2,1,39,1,5
6.9,0,25,1,4
7.4,1,46,2,3
5.5,3,39,1,4
5.8,0,30,1,5
3.8,2,36,1,4
6.3,2,36,1,1
7.2,2,44,2,5
6.0,1,12,0,2
7.7,3,42,1,6
6.5,3,24,0,1
7.6,0,0,0,1
8.0,2,19,0,2
6.6,2,7,0,6
7.2,0,28,1,4
8.6,2,31,1,4
7.6,3,22,1,2
7.8,2,73,1,5
8.6,2,0,1,1
8.5,0,30,1,2
6.0,0,50,0,2
8.7,2,22,0,5
10.0,2,23,1,5
4.4,3,28,1,3
5.9,1,29,1,1
7.6,0,3,1,2
6.8,0,2,1,5
4.7,0,7,0,8
7.4,0,56,0,4
6.8,1,60,1,9
5.9,2,43,1,4
5.8,0,24,1,6
4.8,2,26,2,5
7.7,2,21,1,2
9.2,2,0,1,2
7.6,0,28,0,3
6.4,0,27,1,1
9.4,2,43,1,2
6.1,0,28,1,3
5.9,1,0,1,4
4.7,0,38,1,5
6.1,0,48,0,3
8.6,0,45,1,1
5.8,1,19,0,4
7.1,2,28,2,5
6.7,2,35,0,2
7.7,1,35,1,2
7.1,0,18,2,1
8.4,2,43,1,4
7.7,2,54,0,3
7.4,1,15,1,7
7.7,0,42,0,1
5.2,2,51,1,4
6.5,0,29,1,1
7.8,0,42,1,5
9.6,1,28,0,5
6.9,0,20,0,1
8.7,2,24,1,7
9.0,2,39,0,4
6.7,3,24,0,1
7.2,1,29,1,4
7.4,0,26,1,2
10.0,0,7,1,5
6.2,2,0,1,3
7.0,0,37,1,7
5.6,1,30,0,2
6.5,2,33,1,6
7.4,0,32,0,1
7.6,2,36,0,3
5.0,3,34,0,5
7.6,0,28,1,6
9.9,1,53,1,1
8.3,0,61,1,5
6.8,0,18,1,5
7.4,0,29,0,2
9.0,0,27,1,1
6.3,3,51,0,5
8.2,0,34,2,6
5.8,2,0,1,5
8.0,3,54,0,1
7.4,0,12,1,3
6.2,2,2,1,6
7.9,0,8,2,1
5.6,1,11,1,3
7.6,2,50,0,5
3.3,0,11,1,2
7.9,3,5,1,4
7.4,0,29,1,1
6.7,3,45,0,7
4.7,3,30,1,6
7.9,0,34,0,2
7.7,0,16,1,4
7.6,2,37,1,2
7.4,0,8,1,4
5.9,2,40,2,4
8.2,2,54,1,4
5.9,1,14,2,6
6.7,2,14,1,4
7.2,1,25,0,2
10.0,0,36,0,1
6.3,0,7,1,2
6.5,3,18,0,3
4.8,0,26,1,4
5.7,0,21,2,4
6.9,1,26,1,7
7.7,3,17,0,2
6.1,1,64,1,4
5.9,0,25,0,7
4.7,0,33,1,4
5.5,2,56,1,3
7.7,2,32,1,1
7.7,2,47,2,4
8.8,2,15,1,9
8.4,3,41,0,8
7.3,2,28,2,6
6.3,0,57,1,4
7.0,0,31,1,7
6.3,2,62,1,2
7.0,1,12,0,3
8.6,2,36,1,3
7.0,0,27,1,6
8.3,1,24,1,2
8.1,0,15,1,5
6.7,2,25,0,7
8.6,2,44,1,3
8.2,2,39,1,3
6.5,2,44,1,7
4.2,0,33,0,4
5.1,2,33,2,6
6.5,0,28,2,4
7.2,1,19,1,3
7.2,0,27,0,7
7.2,2,38,0,7
8.7,1,18,0,2
7.0,2,25,0,4
7.9,3,21,1,4
9.0,2,37,0,2
9.2,0,42,1,5
8.8,1,35,0,5
5.6,1,37,2,4
5.6,0,62,1,9
6.1,3,23,2,8
6.6,2,6,0,3
7.6,1,0,1,1
8.3,2,25,1,2
8.1,3,35,2,3
9.5,2,35,0,1
5.2,0,51,0,7
7.7,0,39,1,7
9.1,1,53,1,2
7.6,3,53,1,3
5.2,2,9,1,4
6.7,2,15,0,5
8.6,1,52,1,3
10.0,2,13,0,3
5.9,2,30,1,1
4.3,2,0,0,2
7.8,0,41,2,6
6.0,2,31,1,1
8.2,2,14,0,2
8.4,2,33,1,5
8.0,0,14,1,1
4.9,2,30,1,6
6.9,1,40,1,3
8.3,2,14,0,5
6.6,2,20,2,3
9.7,2,38,1,1
6.8,0,19,0,5
4.0,1,25,1,5
7.4,0,24,1,6
7.5,0,31,1,1
7.9,0,27,0,1
10.0,1,13,0,2
7.0,1,5,1,8
10.0,2,8,1,2
8.1,1,22,1,4
5.9,2,0,1,3
4.4,0,31,1,9
6.9,2,24,1,6
6.0,2,40,2,4
9.3,0,34,1,3
6.9,2,7,1,7
7.3,2,41,2,6
10.0,2,23,1,1
3.9,2,36,2,3
4.5,0,2,1,4
6.3,2,23,1,3
7.3,0,36,1,1
5.5,3,38,1,8
8.0,1,24,0,6
8.2,2,10,0,1
6.4,2,37,1,6
8.2,0,27,2,3
5.1,0,44,1,6
6.6,2,33,1,5
7.1,1,15,0,4
7.8,0,32,1,4
7.3,2,23,0,2
7.8,0,7,1,5
5.6,0,22,1,6
8.0,0,5,1,8
4.2,0,16,1,5
6.6,3,37,1,4
6.3,2,27,1,4
6.6,1,28,0,6
5.7,2,28,0,2
4.9,3,33,0,2
4.7,2,39,0,6
7.8,0,0,1,5
5.1,1,35,0,3
6.3,2,25,1,9
7.7,0,15,1,4
6.4,1,28,1,5
7.5,0,38,0,1
5.2,2,36,1,2
4.8,0,15,1,8
6.3,0,32,0,5
7.5,0,15,1,7
6.0,1,46,1,3
6.2,3,17,2,3
