What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PC1,PC2,PC3,Final_Cluster,SVD1,SVD2,SVD3
BE,"Science,Maths, Engineering subject",Research;Technology;Data analytics;Govt. Job,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,69.35,0,0,-1,0.03864755765603764,0.6921077121387407,0.4753004791603541,3,0.04572545547657875,0.859750932178777,-0.33566803939458556
B.Tech,Computer Science Engineering,Financial Analysis;Research;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Leadership;Machine Learning skills;Python;Artificial Intelligence;SQL;Java;MATLAB;Good communication skills,64.6,0,0,-1,-0.47098951769270114,0.16606141144888992,-0.04668574761242857,5,1.1753526164824772,0.065426829703332,0.4779947765232178
BE,Mechanical Engineering,Entrepreneurship,"Python, Critical Thinking, Analytic Thinking, Gathering Informing, SQL, Programming, Leadership, Product Knowledge, Cost Accounting, Market Study, Team work, Excel, Logical Skills, R, Problem Solving skills, Writing, Tableau",71.25,0,0,-1,-0.1281454557521673,0.15553275393153077,-0.22506944218245414,3,0.18140748835068513,1.1339050101926316,-0.606208489738677
B.Tech,Electrical and Electronics Engineering,Technology,Matlab ;Embedded C; Arduino; C ++;c ;AVR;Eagle PCB;ARM Cortex-M;KiCAD;Software Project Management,81.7,0,0,-1,-0.5862271104208112,-0.06326112782474581,-0.2084499365453264,7,1.2141648015738784,-0.011737088020604065,-0.03445401458640502
BE,Structural Engineeeing ,Research;Teaching;Technology;Data analytics,"Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Designing skills;Proeficiency in Software like STAAD PRO, ETABS ",74.33,0,0,-1,-0.10541142894222576,3.121702091597147,-0.30571694894037915,3,0.04383697415323591,0.8593884747738362,-0.33739843372639117
M.Tech,Mining,Teaching;Technology;Industires,Hardware skills,92,0,0,-1,0.09278213108830956,-1.3729871941199268,-0.29295456745750104,4,0.006533223986743473,0.0009664138226699362,0.004844041046491382
B.Tech,Computer Science Engineering,Financial Analysis;Research;Sales/Marketing;Technology;Data analytics,Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Machine Learning skills;Python;SQL;Cloud Computing;HR,61.75,0,0,-1,-0.6073505680849309,0.11931653706000539,-0.1228571808836645,5,1.173591522303777,0.06549726760662333,0.4756446827132937
B.Tech,Mechanical Engineering,Technology;All fields related to Data science.;Industires;Information Technology,"Proeficiency in Software like STAAD PRO, ETABS;CAD/CAE(autocad/catia/ansys/proE/SeimensNX)",73.15,0,0,-1,-1.0026757456154998,0.03419312060573922,-0.2619075698536309,7,1.0470327909471098,0.04728919227069352,-0.43598422249767477
B.Com,Accountancy ,Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Data analytics;Govt. Job;Game industry;Digital marketing,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Sales;Interpersonal skills;Wealth Management,80,0,0,-1,-0.47564422454279676,-3.051852673532673,2.0302322778610233,2,0.012656322207275576,0.07564247601166246,0.13997969118708414
BCA,C language,Technology;Service,Programming Language skills;Communication skills;Writing skills;Machine Learning skills;Sales;C++;R,76.95,0,0,-1,-0.5770360960242757,-0.33316824324430694,-2.6244141629189164,4,0.004183033441779644,0.013860419178525487,0.02026317655961932
BCA,"C,c++, java",Teaching,Active Listening;Teaching,69,0,0,-1,-0.8132366770278061,-0.43855874751931,-0.683177169557147,4,0.026181888528776436,0.020611294975832407,0.05629154711818677
B.Tech,Civil Engineering,Market reserach,Business Knowledge;Civil & Criminal Law;Product knowledge,74.955,0,0,-1,-0.8292055642718495,-0.17051535098528195,-0.2727566725714647,1,0.9772291379435524,-0.22988471192515028,-0.20867353397138247
B.Tech,Mechanical Engineering,Design,Critical Thinking;Problem Solving skills;Designing skills;Interpersonal skills;Python,73.15,0,0,-1,-0.696564056419688,0.2244952235934969,-0.2734910573557908,7,1.0548575751508564,0.05631594663666105,-0.44999048829232247
BBA,Management,Financial Analysis,Strategic Planning;Financial Analysis;Financial Modeling;Marketing Strategy;Financial Services,73.625,0,0,-1,0.952611748624628,0.7710178693584644,1.1018999234805975,4,0.01973509547909495,0.04244548905220495,0.05292387160843959
BE,Automobile Engineering,"Financial Analysis, Sales/Marketing, Technology, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Market Study, Team work, Interpersonal Skills, Presentation Skills, Designing Skills, Sales, Design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble",84.55,0,0,-1,0.41168929824660927,0.49738961528818826,-0.3879253597595424,3,0.07380177628444934,0.9316843560933451,-0.36862919779725895
BE,Electronics and Communication Engineering,Embedded design,"Creativity Skills, Excel, Logical Skills, Observation Skills, Risk Managing, Designing Skills, Vlsi design,simulation,embedded,IOT",81.795,0,0,-1,-0.04820157361875675,0.7596087373465095,-0.43135199712205563,3,0.11657089446389271,0.9142784761394864,-0.41072251904005996
B.Tech,Computer Science Engineering,Research,"Python, Critical Thinking, Analytic Thinking, Java, SQL, Programming, Communication Skills, Negotiation Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++",75.05,0,0,-1,-0.2735429964050049,0.03869559844277961,0.45103627458355455,5,1.1853589803838078,0.07263616649454685,0.49056812049884824
BE,Electronics and Communication Engineering,Technology,NO,66.5,0,0,-1,-0.2761922582003123,0.18241942418339438,-0.2714787677754148,3,0.3943927680496388,1.1032774089349606,-0.21883177836783935
B.Com,Sales and marketing,Sales/Marketing,Active Listening;Business Knowledge;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Sales;Interpersonal skills,55,0,0,-1,1.3659865490363754,-0.831100160191528,0.6992986108464746,2,0.018383953544862826,0.09501928429001229,0.16287994511581974
B.Com,Economics,Sales/Marketing,Business Knowledge,85,0,0,-1,1.0031136665563498,-0.4525248312250596,0.903900435400189,2,0.020598872121885332,0.09814647064691231,0.16615754612491418
B.Tech,Computer Science Engineering,Software Job,NO,76,0,0,-1,-0.559320618541676,-0.07612726996429772,-0.2440298143810433,5,1.305293622060851,0.05854878161142804,0.437117857775448
B.Tech,Computer Science Engineering,Financial Analysis;Technology;Trading;Data analytics,Business Knowledge;Analytical Skills;Negotiation skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL,76.475,0,0,-1,-0.6178196715596377,0.06900499004050847,-0.22770483296114652,5,1.1735915223038063,0.06549726760989649,0.4756446827102074
BE,Mechanical Engineering,Trading,Active Listening;Business Knowledge;Risk management skills;Sales;Good communication skills,63,0,0,-1,-0.1586939190301367,0.4349602193101197,-0.18794536035136925,3,0.17641157134423585,1.1210911584879641,-0.6099174172649858
B.Tech,Computer science and business system,Financial Analysis;Technology;Web Designing;Web development;Social causes,Accounting Skills;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Problem Solving skills;C++;Python;SQL,87.59,2,0,-1,-1.4861532172056446,-1.4807699621222823,1.4536802261052015,1,0.9215624854696045,-0.21185510743962277,-0.17051216413485026
B.Pharmacy,Pharmacy,Research,"Active Listening, Creativity Skills, Team work, Logical Skills",72,0,0,-1,-0.08306044223953765,0.5597283272398481,-0.06634768101842531,4,0.0173297828899196,0.005471527715776819,0.015848149350123252
B.Com,Commerce,Financial Analysis,"Accounting Skills, Cost Accounting",51.3,0,0,-1,0.4759394977337492,-0.23124978820341754,0.8754861448106838,2,0.03911557027804383,0.12263321542450716,0.196411260766603
B.Sc,Interior design,Home interior design,Programming Language skills;People management;Mass Communication;Leadership;Designing skills;Writing skills;Architecture,74,0,0,-1,0.9270262417968976,0.5278125973421524,0.21159968358521103,0,0.02771347790655649,0.17845114070401152,0.546339384127885
B.Com,Commerce,Take risk for Profits,"Business Knowledge, Product Knowledge, Team work, Sales",57,0,0,-1,0.665773570659613,-0.3027775942360384,0.5679052600814637,2,0.02118364679708691,0.0914442054236634,0.15582860556056136
B.Tech,Information Technology,Entrepreneurship,"Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Mass Communication, Observation Skills, Risk Managing",65.55,0,0,-1,-0.3473424624106629,-0.1789924137081105,-0.07232647002512774,1,0.944744290939692,-0.17120102272529625,-0.17442087081203117
B.Sc,Chemistry,Government jobs,Sports,74.1,0,0,-1,0.5689488867142173,0.262748706240808,0.05065259115504721,0,0.029576459596295464,0.17987352810657142,0.555507397679378
Bca,Computer Applications,Technology,"AI, ML, Python, Java, SQL, Tableau",76,0,0,-1,-0.46055979984081846,-0.42414557519076657,-0.6625231872781525,0,0.21090659436564893,0.19204845212961816,0.22293910451494262
BE,Automobile Engineering,"Research, Take risk for Profits, Understand Human Behaviour","Critical Thinking, Analytic Thinking, Product Knowledge, Team work, Excel, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills",76,0,0,-1,0.40170100146637205,0.30506818887402176,-0.4075049609152921,3,0.07380177628443957,0.9316843560960205,-0.36862919779910447
B.Tech,Electrical and Electronics Engineering,"Information Technology,Blockchain","
Docker;Kubernetes;Amazon Web Services (AWS);Bash;Apache;
New Relic APM;Jenkins;Internet Information Services (IIS);Terraform;AKS;Continuous Integration and Continuous Delivery (CI/CD);Amazon EC2",74.67,0,0,-1,-0.5976900429483297,-0.20273929922659625,-0.1666476459895308,1,1.0198883359055884,-0.2025425174106658,-0.2464733717556743
B.Tech,Computer Science Engineering,Software Job,"Full stack, java, python, reactjs",74.1,0,0,-1,-0.5864559928274407,-0.07141831784154068,-0.2147548595138269,5,1.2250018448784104,0.0498966784188267,0.46199767410732295
BE,Mechanical Engineering,Supply Chain Analysis;Data scientist;Machine Learning;Excel,Active Listening;Analytical Skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Machine Learning skills;Python,88.35,0,0,-1,-0.1945429539541249,0.35739233866429404,-0.428752044693545,3,0.17088422647942833,1.1133244052103461,-0.6018981291648342
B.Tech,Computer Science Engineering,Software Job,"Web development (PHP, codeigniter), java development, graphic desiging, Android app development",73.15,0,0,-1,-0.5861500497313678,-0.07074514940490885,-0.21451093666428764,5,1.2250018448784117,0.04989667841879565,0.4619976741077055
B.Tech,Mechanical Engineering,Trading;Data analytics;Govt. Job;Data scientist,Data Visualization skills( Power Bi/ Tableau );Python;SQL,78.185,0,0,-1,-1.0507954754939806,0.004044210195277483,0.0243676941330555,7,1.0470327909471244,0.047289192270116576,-0.4359842225017433
B.Com,Commerce ,Financial Analysis,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Social Media Marketing,63,0,0,-1,0.8387210671279622,-0.5671491532734282,1.1751610043241043,2,0.029205231583227298,0.11478343977745768,0.18496025978184885
B.Sc,Physics,Technology,"Accounting Skills, Active Listening, AI, Python, Critical Thinking, Programming, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Observation Skills, Risk Managing, Reading",68.685,0,0,-1,0.20497062514215106,0.08080326879870772,-0.03799227371428167,0,0.22718486872926036,0.37761450539441394,0.7882399577277637
B.Tech,Mechanical Engineering,Technology;Industires,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),74.1,0,0,-1,-0.8466122352279303,0.0925527003003625,-0.27752266948194165,7,1.0586228966609812,0.053518125741665284,-0.4542778265133269
M.Tech,Electronics and Communication Engineering,Research;Sales/Marketing;Teaching;Technology;Web Designing;Content Writing;Data analytics;Digital marketing;Data scientist;Web development;Market reserach;Social media marketing;Gardening;Service;Design;Information Technology;Machine Learning;Excel,Programming Language skills;Analytical Skills;Communication skills;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Machine Learning skills;Sales;Social Media Marketing;R;Python;Artificial Intelligence;SQL;Architecture;MATLAB;Good communication skills;Teaching;AWS;PHP;Programming Language C;Javascript,87,0,0,-1,-0.07305767836635257,-1.4238481215837235,-0.9951310868884771,4,0.07430713463175156,0.06244538495815374,-0.06870586947411617
B.Sc,Statistics ,Data analytics,Critical Thinking;Analytical Skills;Leadership;Problem Solving skills;Machine Learning skills;Python,69.35,0,0,-1,-0.2848647368340571,0.5792226356142647,-0.44881088003512976,0,0.048269472308494696,0.21805239186477704,0.5271829779040331
B.Tech,Computer Science Engineering,IT field ,"Python, Java, SQL, Programming, Problem Solving skills",69,0,0,-1,-0.5426586381401343,-0.025718815107388535,-0.115008427318798,5,1.1735915223038356,0.06549726760614719,0.4756446826939859
B.Sc,Information TechNAlogy,"Research, Technology","Active Listening, AI, ML, Python, Analytic Thinking, Editing, Creativity Skills, Team work, C++, Problem Solving skills, Mass Communication",89.87,0,0,-1,0.044618079243479256,0.07090398931832191,0.23323431079580967,0,0.05301367310425269,0.1653384248614602,0.5494072795013027
B.Com,Commerce ,Blockchain,Artistic/Creative Skills,60,0,0,-1,1.0753001898375916,-0.6108543436916672,1.006209833228589,2,0.012980351372706726,0.08324301806521088,0.14473553582583612
BE,Industrial Engineering ,Financial Analysis;Research;Trading;Understand human behaviour;Understand human body;Data analytics;Data scientist;Gardening,Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Python;SQL,72,0,0,-1,1.2525375791630238,-2.742471705672836,-2.983693206638007,3,0.0438369741534986,0.8593884747874893,-0.33739843399141667
B.Tech,Mechanical Engineering,Technology;Supply Chain Analysis,Business Knowledge;Negotiation skills;Product knowledge;Sales,60.8,0,0,-1,-0.503975243382755,-0.2329479013348667,-0.6275307947759327,7,1.0473011142472801,0.051547299267707146,-0.4384039934606992
Diploma,High pressure die casting ,Technology,Designing skills,70,0,0,-1,0.33156102064588105,0.8282078037051407,0.014809304975805846,0,0.1988088969376327,0.20960682129263739,0.21581510924631306
B.Com,Accounting&Finance,Financial Analysis,Company Law;Company Secretarial Work;Due Diligence;Corporate Law;industrial and labour law;company law;Corporate Social Responsibility;Public Company Compliance;Statutory Compliances;Regulatory Compliance,83.03,0,0,-1,0.911407812208452,0.2956408800348558,1.1393377599786825,2,0.030689163271943924,0.1079461587535575,0.18258743894662086
B.Tech,Computer Science Engineering ,Research;Technology;Data analytics;Design,Active Listening;Programming Language skills;Communication skills;Client management;Good communication skills,68.02,0,0,-1,0.21949131633607968,-0.7579915259660447,-0.39000927750178266,1,0.9267554112686518,-0.2064274919238545,-0.17770764718807597
B.Tech,Computer Science Engineering,Teaching;Technology;Web Designing,Active Listening;Programming Language skills;Gathering Information;Mass Communication;Content creation,68.4,0,0,-1,-0.5106917991487252,0.03460250312887407,-0.17102257968750736,5,1.1735915223038476,0.06549726760971111,0.47564468270744437
B.E,Information Technology,"Technology, Understand Human Behaviour, Understand Human Body","Analytic Thinking, Gathering Informing, SQL, Risk Managing",76,0,0,-1,0.29165135021703115,-0.34123226660776435,-0.1841334249367267,4,0.02272164877485429,0.02931944934292176,0.014426606211028672
B.Sc,Computer Science ,Technology;Data analytics;Data scientist;All fields related to Data science.,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL,66.5,0,0,-1,0.07365928411893875,0.12049719939113239,0.281168945895781,0,0.04016636208500895,0.18526506273849755,0.5618961433184835
B.Sc,Computer Science ,Digital marketing;Market reserach,Business Knowledge;Analytical Skills;People management;Communication skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;SQL;Hospitality;HR;Excel,75,0,0,-1,0.07752451104493199,0.27586624734154463,0.6579226267979492,0,0.033947286084392014,0.1802729993931741,0.5563501579095462
B.Tech,Mathematics,"Teaching, Technology","Analytic Thinking, Logical Skills, C++, Writing",71.25,0,0,-1,-0.03977245130347251,-1.430945065909732,2.416164832413166,1,0.9354065357401813,-0.17868055391200544,-0.1474007107699582
BCA,Computer Applications,Technology,Active Listening;Negotiation skills,71.25,0,0,-1,-0.7265969727405265,-0.6223028375358172,-0.9321209982547033,0,0.21468139255534485,0.2046483322579453,0.24140412325928753
B.Tech,Information Technology,Technology,"Java, SQL, Programming",76,0,0,-1,-0.5265109280877328,-0.10537837236794069,-0.11552684379266664,7,1.132138625206175,-0.007022548448946292,0.04677931487421682
B.Tech,Electrical and Electronics Engineering,Software Job,stack web development,78.85,0,0,-1,-0.635028451430176,-0.1461255334747044,-0.2787713834211808,1,1.071574310611006,-0.21684618546252876,-0.25593736581054094
BE,Electrical and Electronics Engineering,All fields related to Data science.;Machine Learning;Sports Industry,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Python;SQL,73.53,0,0,-1,-0.0292645838859567,0.11337429900685607,-0.3550691005693283,3,0.14373977143798639,0.8634926955288875,-0.41238727841819517
B.Tech,Computer Science Engineering,Data scientist;Machine Learning,Programming Language skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Java,73.625,0,0,-1,-0.4864618373999987,-0.01579157729314964,-0.20527406625070477,5,1.175318607332167,0.06489530358502824,0.47447899684215317
B.Com,Accounting(business and management) ,Financial Analysis;Research;Sales/Marketing;Digital marketing,Critical Thinking;Business Knowledge;Communication skills;Negotiation skills;Artificial Intelligence,85.69,0,0,-1,0.9090745837125815,-0.6816550438970713,4.286104397825918,2,0.012656322207178747,0.07564247599584657,0.13997969105562447
MBA,Sales and Marketing,Sales/Marketing,Business Knowledge;People management;Communication skills;Product knowledge;Sales;Social Media Marketing,72,0,0,-1,1.921489411779789,0.07829152049289259,-0.7345362270402305,4,0.007912959298795246,0.027358341348808452,0.03709424528061211
B.Tech,Civil Engineering,"Product Life cycle Management,","Agile Methodologies;Usability Testing;C++;Microsoft OfficeBentley InRoadsProduct Requirements;User Stories;Metrics;Product Management;Product Innovation;User Experience (UX);Research;Business Development;Digital Marketing;
",72.675,0,0,-1,-0.841745264745624,-0.22046101034623455,-0.1596555250088934,1,0.9772291379435271,-0.229884711936404,-0.20867353397200525
B.Tech,Electrical and Electronics Engineering,Technology,"
Power Electronics;Simulink;Inverters;Matlab;PLC;Variable Frequency Drives;Switchgear;Industrial Control",79.8,0,0,-1,-0.586208838677828,-0.062455190191200105,-0.208937362460887,7,1.2141648015738786,-0.011737088020438102,-0.03445401458657815
B.Sc,Computer science ,Technology;Data analytics,Programming Language skills;People management;Communication skills;Editing;C++;SQL,78,0,0,-1,0.22814182465805583,-0.12055507981481123,-0.5200400727148152,0,0.04105629325523311,0.17954014169020321,0.5484119404828309
B.Tech,Computer Science Engineering ,Web development,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information,71,0,0,-1,-0.007239821983495056,-0.5762509439834317,-0.5498400293699709,1,0.9285999157084548,-0.20285910731297244,-0.18006949149328996
B.Tech,Computer Science Engineering,Technology;Supply chain analysis,Analytical Skills;Machine Learning skills;Python;Artificial Intelligence;SQL,85,0,0,-1,-0.6238532405187526,-0.04596618006331104,-0.23134468130844774,5,1.1735915223038227,0.06549726760586613,0.47564468267206955
BE,Civil Engineering ,Financial Analysis;Data analytics;Home interior design;All fields related to Data science.;Construction;Construction Manegement;Project Management,Gathering Information;People management;Communication skills;Problem Solving skills;Sales;Python;Javascript;construction management,68.495,0,0,-1,0.8838472297810008,-0.46123160665259205,-1.693252529235013,3,0.043916016493392565,0.8636078146896616,-0.33938749132070084
Law Hons  ,Statistics,Understand human behaviour,Active Listening;People management;Civil & Criminal Law;Negotiation skills;Machine Learning skills,61.4,0,0,-1,0.38846975783069737,1.9058886620191877,0.6010188048944727,4,0.004231138536200883,0.005646040123637174,0.0205608796561397
B.Tech,Criminal manual,"Research, Sales/Marketing, Technology, Entrepreneurship","Analytic Thinking, Product Knowledge, Team work, Logical Skills",68.4,0,0,-1,-0.9017131295955861,-2.8215425965555103,-1.7289289531185974,1,0.9215624854695129,-0.21185510765316837,-0.17051216380141973
B.Tech,Mechanical Engineering,Research;Technology;Supply Chain Analysis;Govt. Job,Active Listening;Hardware skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Writing skills;Social Media Marketing;Presentation Skills;Hospitality;HR;Client management,72.675,0,0,-1,-0.8981652750171811,-0.10088296569955732,-0.2112977278304527,7,1.0470327909470396,0.04728919228813354,-0.435984222510853
B.Tech,Electrical and Electronics Engineering,Research;Teaching;Technology;Trading,Accounting Skills;Active Listening;Communication skills;Product knowledge;Problem Solving skills,52,0,0,-1,-0.7173763942443698,-0.13116467507518847,-0.2669791208060412,1,1.019888335905559,-0.20254251740636275,-0.24647337175621503
BE,Electrical and Electronics Engineering,Research;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Data scientist;Market reserach;Social media marketing;Industires,Programming Language skills;Critical Thinking;Analytical Skills;Problem Solving skills;Python;Medical knowledge;MATLAB;Teaching,62.26,0,0,-1,0.05742139899591557,0.31777572039406266,-0.3314726316985525,3,0.1437397714378844,0.863492695548699,-0.4123872784171449
B.Tech,Mechanical Engineering,Market reserach;SAP Consultant in MM;Project Management,Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Risk management skills;Presentation Skills,80.75,0,0,-1,-1.0714007979539912,-0.009735118339738672,-0.22037397917373083,7,1.0470327909471413,0.04728919226854267,-0.43598422252155233
B.Tech,Electrical and Electronics Engineering,Data analytics,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python;Artificial Intelligence,63.9,0,0,-1,-0.6148571242435822,0.02787977475110943,-0.16723730229334796,1,1.0386452802112125,-0.1614644344376145,-0.26312802465974555
B.Tech,Mechanical engineering ,"Trading,Web Designing,Content Writing,Web development,Social media marketing",C++;Hadoop;Java;SQL;Core Java;JavaScript;PL/SQL;Informatica,80.37,0,0,-1,-0.3767587887377219,0.09628079947989931,-0.09124965909082018,1,0.9306378434490233,-0.20292135242962928,-0.180602550931384
B.Com,Computer Science Engineering,Financial Analysis,Accounting Skills,91.2,0,0,-1,0.3584468691032009,-0.24218721986994035,0.8973155108152627,2,0.2835305129399618,0.39161167120826623,0.8376970992556979
B.E,Accountancy,Entrepreneurship,"Active Listening, Python, Gathering Informing, Programming",88.35,0,0,-1,0.5168957895683501,-0.2601725258571326,0.496999483911222,4,0.02975013668174814,0.04518479425997105,0.01584404605299489
Law Hons,Agriculture,"Financial Analysis;Social causes;Information Technology;Agriculture, services;Excel",Accounting Skills;Finance related skills;Civil & Criminal Law;Negotiation skills;Risk management skills,67,5,0,-1,2.54394342668032,-2.403200442876371,0.6105644980564607,4,0.00010291485825666461,0.001711293827126192,0.006492012907750635
B.Tech,Company law,Data Analytics,"JavaScript,Python",73.15,0,0,-1,-0.4506325712860471,0.14702365328134365,-0.4916641544682334,1,0.9464168881604772,-0.2051944853863683,-0.1821464227917556
