Actvitiy,Description
Water Activities,"Swimming laps, freestyle, fast, vigorous effort"
Water Activities,"Swimming laps, freestyle, slow, recreational"
Water Activities,"Swimming, backstroke, training or competition"
Water Activities,"Swimming, backstroke, recreational"
Water Activities,"Swimming, breaststroke, general, training or  competition"
Water Activities,"Swimming breaststroke, recreational"
Water Activities,"Swimming, butterfly, general"
Water Activities,"Swimming, crawl, fast speed, ~75 yards/minute,  vigorous effort"
Water Activities,"Swimming, open water, 5k"
Water Activities,"Swimming, crawl, medium speed, ~50 yards/minute, vigorous effort"
Water Activities,"Swimming, crawl, slow speed, 30-45 yards/minute, moderate effort"
Water Activities,"Swimming, crawl, elite swimmers, competition, >90 yards/minute"
Water Activities,"Swimming, lake, ocean, river (Taylor Codes 280,  295)"
Water Activities,"Swimming, leisurely, not lap swimming, general"
Water Activities,"Swimming, sidestroke, general"
Water Activities,"Swimming, synchronized"
Water Activities,"Swimming, treading water, fast, vigorous effort"
Water Activities,"Swimming, treading water, moderate effort,  general"
Water Activities,"Tubing, floating on a river, general"
Water Activities,"Water aerobics, water calisthenics, general"
Water Activities,"Water aerobics, resistance exercises"
Water Activities,"Water aerobics, high intensity"
Water Activities,Water polo
Water Activities,Water volleyball
Water Activities,"Water jogging, vigorous effort"
Water Activities,"Water walking, light effort, slow pace"
Water Activities,"Water walking, moderate effort, moderate pace"
Water Activities,"Water walking, vigorous effort, brisk pace"
Water Activities,"Whitewater rafting, kayaking, or canoeing"
Water Activities,"Water running, 30 steps/min, slow"
Water Activities,"Water running, 40 steps/min, moderate"
Water Activities,"Water running, 50 steps/min, fast"
Water Activities,"Water running, 60 steps/min, very fast"
Water Activities,"Windsurfing, not pumping for speed"
Water Activities,"Windsurfing or kitesurfing, crossing trial"
Water Activities,"Windsurfing, competition, pumping for speed"
Water Activities,"Aquatic cycling, 25 W, 40-50 RPM"
Water Activities,"Aquatic cycling, 25 W, 60-70 RPM"
Water Activities,"Aquatic cycling, 50 W, 40-50 RPM"
Water Activities,"Aquatic cycling,  50 W, 60-70 RPM"
Water Activities,"Aquatic cycling, 75 W, 40-50 RPM"
Water Activities,"Aquatic cycling, 75 W, 60-70 RPM"
Water Activities,"Aquatic cycling, 100 W, 40-50 RPM"
Water Activities,"Aquatic cycling, 100 W, 60-70 RPM"
Water Activities,"Aquatic cycling, 80-89 RPM"
Water Activities,"Aquatic cycling, 90+ RPM"
Winter Activities,"Dog sledding, mushing"
Winter Activities,"Dog sledding, passenger"
Winter Activities,"Moving icehouse, set up/drill holes"
Winter Activities,Ice fishing
Winter Activities,"Skating, ice dancing"
Winter Activities,"Skating, ice, 9 mph or less"
Winter Activities,"Skating, ice, general (Taylor Code 360)"
Winter Activities,"Skating, ice, rapidly, more than 9 mph but not competitive"
Winter Activities,"Skating Treadmill, 6 - 6.9 mph, 2% grade"
Winter Activities,"Skating Treadmill, 7 - 7.9 mph, 2% grade"
Winter Activities,"Skating Treadmill, 8 - 8.9 mph, 2% grade"
Winter Activities,"Skating Treadmill, 9 - 9.9 mph, 2% grade"
Winter Activities,"Skating, speed, competitive"
Winter Activities,"Ski jumping, climb up carrying skis"
Winter Activities,"Skiing, general"
Winter Activities,"Skiing, cross country, 2.5 mph, slow or light effort, ski walking"
Winter Activities,"Skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general"
Winter Activities,"Skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort"
Winter Activities,"Skiing, cross country, elite skier, >8.0-11.9 mph, racing"
Winter Activities,"Skiing, cross country, 12-16 mph, elite skier, racing"
Winter Activities,"Skiing, cross-country skiing high-intensity training"
Winter Activities,"Skiing, cross country, hard snow, uphill, maximum, snow mountaineering"
Winter Activities,"Skiing, cross-country, skating"
Winter Activities,"Skiing, cross-country, biathlon, skating technique"
Winter Activities,"Biathlon training, 5 degree incline, 8 km/h (5 mph), with/without rifle"
Winter Activities,"Biathlon training, 5 degree incline, 10.7 km/h (5 mph), with/without rifle"
Winter Activities,"Skiing, slalom"
Winter Activities,"Skiing, downhill, alpine or snowboarding, light effort, active time only"
Winter Activities,"Skiing, downhill, alpine or snowboarding, moderate effort, general, active time only"
Winter Activities,"Skiing, downhill, alpine or snowboarding, vigorous effort, active time only"
Winter Activities,"Skiing, Alpine skiing high-intensity training"
Winter Activities,"Sledding, tobogganing, bobsledding, luge (Taylor Code 370)"
Winter Activities,"Snow shoeing, moderate effort"
Winter Activities,"Snow shoeing, vigorous effort"
Winter Activities,"Snowmobiling, driving, moderate pace, flat land"
Winter Activities,"Snowboarding, recreational, moderate pace, mountain"
Winter Activities,"Snowmobiling, passenger, light"
Winter Activities,"Snow shoveling, by hand, moderate effort"
Winter Activities,"Snow shoveling, by hand, vigorous effort"
Winter Activities,"Snow blower, walking and pushing"
Winter Activities,"Skiing, roller, elite racers"
Winter Activities,"Rollerskiing, 10 - 12.9 km/h, no incline"
Winter Activities,"Rollerskiing, 13 - 16.9 km/h, no incline"
Winter Activities,"Rollerskiing, 17 - 19.9 km/h, no incline"
Winter Activities,"Rollerskiing, 20 - 23.9 km/h, no incline"
Winter Activities,"Rollerskiing, 24 - 27.9 km/h, no incline"
Winter Activities,"Rollerskiing, 10-15 km/h, 2-5 degree incline"
Winter Activities,"Rollerskiing, 16-22 km/h, 2-5 degree incline"
Winter Activities,"Rollerskiing, 6-9 km/h, 6-10 degree incline"
Winter Activities,"Rollerskiing, >10 km/h, 6-10 degree incline"
Winter Activities,"Mountaineering, downhill climbing, walking down with rope"
Winter Activities,"Mountaineering, downhill climbing/cross-country skiing"
Religious Activities,"Sitting in church, in service, attending a ceremony, sitting quietly"
Religious Activities,"Sitting, playing an instrument at church"
Religious Activities,"Sitting in church, talking or singing, attending a ceremony, sitting, active participation"
Religious Activities,"Sitting, reading religious materials at home"
Religious Activities,"Standing quietly in church, attending a ceremony"
Religious Activities,"Standing, singing in church, attending a ceremony, standing, active participation"
Religious Activities,"Kneeling in church or at home, praying"
Religious Activities,"Standing, talking in church"
Religious Activities,Walking in church
Religious Activities,"Walking, less than 2.0 mph, very slow"
Religious Activities,"Walking, 2.8 to 3.4 mph, moderate speed, not carrying anything"
Religious Activities,"Walking, 3.5 to 3.9 mph, brisk speed, not carrying anything"
Religious Activities,"Walk/stand combination for religious purposes, usher"
Religious Activities,"Praise with dance or run, spiritual dancing in church"
Religious Activities,Serving food at church
Religious Activities,Preparing food at church
Religious Activities,"Washing dishes, cleaning kitchen at church"
Religious Activities,Eating at church
Religious Activities,"Eating/talking at church or standing eating, American Indian Feast days"
Religious Activities,Cleaning church
Religious Activities,General yard work at church
Religious Activities,"Standing , moderate effort (e.g., lifting heavy objects, assembling at fast rate)"
Religious Activities,"Standing, moderate-to-heavy effort, manual labor, lifting ≥ 50 lbs, heavy maintenance"
Religious Activities,"Typing, electric, manual, or computer"
Volunteer Activities,"Sitting, meeting, general, and/or with talking involved"
Volunteer Activities,"Sitting, light office work, in general"
Volunteer Activities,"Sitting, moderate work"
Volunteer Activities,"Standing, light work (filing, talking, assembling)"
Volunteer Activities,"Sitting, child care, only active periods"
Volunteer Activities,"Standing, child care, only active periods"
Volunteer Activities,"Walk/run play with children, moderate, only active periods"
Volunteer Activities,"Walk/run play with children, vigorous, only active periods"
Volunteer Activities,"Standing, light/moderate work (e.g., pack boxes, assemble/repair, set up chairs/furniture)"
Volunteer Activities,"Standing, moderate (e.g., lifting 50 lbs., assembling at fast rate)"
Volunteer Activities,"Standing, moderate/heavy work"
Volunteer Activities,"Typing, electric, manual, or computer"
Volunteer Activities,"Walking, less than 2.0 mph, very slow"
Volunteer Activities,"Walking, 2.8 to 3.4 mph, moderate speed, not carrying anything"
Volunteer Activities,"Walking, 3.5 to 3.9 mph, brisk speed, not carrying anything"
Volunteer Activities,"Walking, 2.5 mph slowly and carrying objects less than 25 pounds"
Volunteer Activities,"Walking, 3.0 mph moderately and carrying objects less than 25 pounds, pushing something"
Volunteer Activities,"Walking, 3.5 mph, briskly and carrying objects less than 25 pounds"
Volunteer Activities,"Walk/stand combination, for volunteer purposes"
Video Games,"Seated, video game, handheld controller (inactive)"
Video Games,"Video game, handheld controller (light effort)"
Video Games,"Video game, light effort (Wii Fit, yoga, bowling, etc)"
Video Games,"Active video game, motion sensing game/using upper body (light to moderate effort)"
Video Games,"Active video game, motion sensing game/using total body (moderate effort)"
Video Games,"Active video game, motion sensing game/using total body (moderate-to-vigorous effort)"
Video Games,"Active video game, motion sensing game/using total body, exergames, workouts, dancing (vigorous effort)"
Video Games,"Conditioning/exercise virtual reality fitness, vigorous intensity"
