Internships,Projects,Leadership_Positions,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Cluster,Cluster_Name,PC1,PC2,PC3
0,0,1,3,0,2,1,1,3,1,Leaders & Team Players,-1.2995774397895787,0.8996686993125267,-0.8164398251965377
1,2,0,0,3,1,1,4,2,0,Presenters,0.5294291323061049,0.2391935362600682,1.7428483062331348
0,4,0,0,0,1,0,1,4,2,Communicators,-0.05651271798230885,0.3933431067528184,-0.26028093712607253
2,3,0,0,4,1,0,3,0,0,Presenters,0.6632963967510331,0.08760353301546207,2.0011795953055493
1,4,1,0,2,3,4,3,2,3,Project-Driven Builders,1.9007503741525396,-0.46348709291340906,-0.8548592953622091
2,1,0,4,1,0,1,0,3,2,Communicators,-2.825523995320037,0.2913227706210454,-0.07616257951327594
2,0,0,4,2,0,1,2,1,2,Communicators,-2.4141303434963657,-0.2382583819962725,1.335822961063869
0,0,1,1,2,3,0,3,1,1,Leaders & Team Players,0.540639336357527,1.141877871877075,0.8740206332691361
2,4,1,2,1,0,2,2,4,3,Project-Driven Builders,-0.7198566271370459,0.4140674920569734,-1.0241477921127486
1,1,1,0,1,2,0,2,2,1,Leaders & Team Players,-0.18567787074259895,1.5274841794875462,0.2150480205543052
0,4,0,0,2,3,1,4,0,0,Presenters,2.0630952654194132,-1.1642976450546116,1.639228325518959
1,4,1,2,0,1,1,4,2,3,Project-Driven Builders,0.06561625547177412,-0.4370067469756222,0.3210187026907866
1,1,1,2,2,3,1,2,0,1,Leaders & Team Players,0.19445209958065182,0.3176775243140447,0.31801242072452346
0,4,0,0,4,1,4,0,2,2,Communicators,1.3595512001703756,-1.1182194648566897,-1.4646892451425246
0,2,0,3,4,0,2,3,3,0,Presenters,0.027120821922612122,-0.49087573372282106,0.6134886270238069
2,4,0,3,4,1,2,3,0,0,Presenters,0.4330041804820755,-1.4546965769882225,1.25319558074959
1,3,0,1,2,4,4,1,2,2,Communicators,1.0772286818403811,-0.7418833453550892,-0.5786833663249505
0,0,0,1,2,4,3,3,0,0,Presenters,0.8140160543290466,-0.822487074055217,1.1632474325030888
2,3,0,2,0,3,0,1,0,2,Communicators,-0.6858209337342511,-0.42681742944595363,1.0006300984722838
1,3,0,3,4,1,0,4,4,0,Presenters,0.39633654159585213,0.6713977664905721,1.6719885754541357
0,2,0,3,2,0,2,4,1,0,Presenters,-0.3817186663355327,-1.6284063633163854,1.2779892825316794
0,4,1,2,1,2,3,3,3,3,Project-Driven Builders,1.035798857888324,-0.6686186084802412,-1.002532148596035
0,3,1,2,3,2,2,2,2,3,Project-Driven Builders,1.1656256796071098,-0.05596200908534373,-0.7741923011537435
2,1,0,4,0,4,2,0,3,2,Communicators,-1.5982756400416136,0.3504698687710427,-0.1933405458700081
2,1,0,2,1,4,2,0,0,2,Communicators,-0.7183375419615244,-0.2567480987768617,0.2999921500023217
2,3,0,1,3,3,0,3,4,0,Presenters,0.7213475036150632,1.5462130108673307,1.477024606685876
1,3,1,3,2,2,4,3,1,3,Project-Driven Builders,0.5586271467229019,-1.30206139087992,-0.6240592101755651
1,4,1,1,3,3,0,0,3,3,Project-Driven Builders,1.2379677797066968,1.5576933579064858,-1.109939269401758
0,0,1,1,4,3,0,2,4,1,Leaders & Team Players,0.9137822709031573,2.6582284304798516,0.06018308799542223
1,2,0,0,0,3,2,4,4,0,Presenters,0.28110144570704326,0.4815254525325069,1.10828632198394
2,2,1,1,1,1,3,1,4,1,Leaders & Team Players,-0.9088271283610048,0.9856093564210487,-1.4669535862541951
2,4,1,0,1,4,2,0,2,3,Project-Driven Builders,0.9522989581402458,0.7749453504325802,-1.4166692179039417
0,2,1,1,4,1,0,3,1,3,Project-Driven Builders,1.110284738270825,0.6441667975884583,0.5799916426484196
2,2,1,4,2,1,4,2,3,3,Project-Driven Builders,-0.9894520411570098,-0.264010455328703,-1.107516015859864
0,3,1,3,1,1,2,0,4,3,Project-Driven Builders,-0.5042764318298435,0.24990309938153,-2.157677943439028
1,4,1,4,4,2,3,1,3,3,Project-Driven Builders,0.85177395349419,-0.16724078736515763,-1.5778213137396315
2,1,1,0,3,0,4,2,0,1,Leaders & Team Players,-0.37213402612980406,-0.3743826114756727,-0.5422717127594037
1,2,1,1,3,0,1,4,4,3,Project-Driven Builders,0.15549174572732138,1.3207956402505996,0.37953953341510477
0,0,1,0,0,2,0,2,1,1,Leaders & Team Players,-0.43848526868818755,0.9860559175665545,0.24950033491840234
0,0,1,0,0,3,2,1,1,1,Leaders & Team Players,-0.13101632908389704,0.4998604771608198,-0.7721696750708643
2,4,1,3,2,1,4,2,0,3,Project-Driven Builders,0.007431665136789092,-1.7188132300230805,-0.9333050638683048
1,1,1,0,2,3,1,0,3,1,Leaders & Team Players,0.1868332782178113,2.0101519372895007,-1.0620432832099425
1,4,1,0,2,1,2,4,3,3,Project-Driven Builders,1.1822619713163447,0.260902503889985,-0.04273863246729987
0,3,0,2,0,0,1,1,3,2,Communicators,-1.1228707308863914,-0.610665400101821,-0.34027630339688636
0,3,1,4,2,1,2,4,3,3,Project-Driven Builders,0.3283668188936646,-0.5203842259719426,-0.10083927546303358
0,4,1,3,0,0,2,0,0,3,Project-Driven Builders,-0.7302046314368127,-1.8074356484725034,-1.805630203389767
0,3,0,3,4,1,3,1,2,2,Communicators,0.4776335733704141,-1.1672810931449236,-0.5500162588943467
2,1,1,3,4,3,0,0,1,1,Leaders & Team Players,-0.18172325152268215,1.599347808133324,-0.14878147985639945
0,1,0,4,4,0,0,4,0,0,Presenters,-0.35435253941179956,-0.9370028319356222,2.2812367811113647
1,3,1,0,3,3,2,1,1,3,Project-Driven Builders,1.4777788435262837,0.44600928100708825,-0.8308891756328041
2,3,0,2,3,4,1,4,0,0,Presenters,1.2424464830048612,-0.4632024904916498,2.2917220065773063
1,0,0,1,1,1,3,4,4,0,Presenters,-0.9798445858734528,0.30846439735280595,1.0019186526658233
2,4,1,0,0,3,1,4,0,3,Project-Driven Builders,0.9620934023533547,-0.25991689018311237,0.9379833749860201
0,0,1,4,1,2,3,0,0,1,Leaders & Team Players,-1.1566131304781506,-0.9083305894676053,-1.3992586437263879
0,2,0,3,4,3,4,2,3,2,Communicators,1.0852355805656824,-0.6958196289054501,-0.2877564683084274
2,0,0,0,0,2,0,4,4,0,Presenters,-1.238067777984087,1.8349092910234277,2.1394201453442885
0,0,0,0,2,2,4,0,1,2,Communicators,-0.21647466308819963,-0.63029106845045,-0.8096464224170515
1,0,0,4,0,4,2,0,3,2,Communicators,-1.5600110339928783,0.3344632831957018,-0.2590824594198792
0,2,0,2,3,4,1,0,1,2,Communicators,0.9234381152370084,-0.02447813689326118,0.018507791158261743
0,3,1,0,3,2,0,1,3,3,Project-Driven Builders,1.2972539355843977,1.5056937588889756,-0.7736917582387434
0,2,1,0,1,1,0,4,3,1,Leaders & Team Players,0.45493041707363796,1.0666341727669504,0.5960917596025178
1,1,0,1,2,2,0,0,3,2,Communicators,-0.760073415810623,1.37905231891077,0.19487256451536367
1,1,0,3,2,1,3,1,2,2,Communicators,-1.2142993063995995,-0.6799834666348775,-0.17472556954707602
1,4,0,3,2,4,3,3,0,0,Presenters,1.3298027273522066,-1.9536150962307515,0.8249758818288814
0,1,1,1,1,0,2,2,1,1,Leaders & Team Players,-0.6465748670533795,-0.30825391818050385,-0.5735865677197844
1,4,0,0,2,3,1,3,4,0,Presenters,1.3753628720209172,0.7085074453290344,0.7794551801592428
0,0,0,2,2,4,4,3,3,0,Presenters,0.5366117284813507,-0.2341015680590029,0.408261947025175
1,2,1,3,3,4,2,2,0,1,Leaders & Team Players,1.0596059548659285,-0.19800074863858,-0.015551976109191443
1,0,0,2,0,1,4,1,3,2,Communicators,-1.9611448137694356,-0.5049697293174773,-0.5971985346404067
0,4,0,2,1,1,2,3,3,0,Presenters,0.3119321034777433,-1.108398190787325,0.252473381490737
2,2,0,0,2,0,0,0,3,2,Communicators,-1.325943901280284,1.305127395334652,0.13827924576966805
0,3,0,3,4,3,0,3,3,0,Presenters,1.38101605343458,0.38967856216219404,1.2759515668134866
0,1,0,3,4,0,3,2,1,2,Communicators,-0.35544236824436076,-1.2637510479295633,0.2751097728903462
1,3,1,4,2,2,0,2,1,3,Project-Driven Builders,-0.048618412256259784,0.020322829789797926,0.14927944305872634
2,0,1,0,3,0,1,0,1,1,Leaders & Team Players,-1.2459924967956284,1.5029061180865857,-0.557232900594632
0,3,1,1,1,3,1,1,3,3,Project-Driven Builders,0.8487250649799593,0.8050417557962292,-1.1187394407943632
2,1,0,0,0,2,0,3,4,0,Presenters,-1.0779952449453885,1.666765056056497,1.5393632458306363
1,2,0,1,2,0,0,2,3,0,Presenters,-0.8307331426191974,0.6695947080139438,0.866727349384488
2,1,1,3,1,2,1,0,1,1,Leaders & Team Players,-1.4846265592548848,0.66216254855268,-0.6653070565594594
2,4,1,1,3,4,4,3,4,3,Project-Driven Builders,1.936767135517949,0.6608983464258947,-0.8405810246913815
0,0,0,2,1,3,0,2,2,2,Communicators,-0.5139888043936709,0.6135552397251581,1.219672053206384
0,3,1,0,0,3,3,2,0,3,Project-Driven Builders,1.1308411775744236,-1.0868955093180126,-0.8754398189451568
1,3,1,3,4,1,4,1,1,3,Project-Driven Builders,0.4902323131561833,-0.9761091150140694,-1.5142107431602065
2,2,1,1,3,4,3,1,4,1,Leaders & Team Players,0.8706787156108413,1.7006901689285845,-1.1880308905648993
0,1,0,2,4,2,3,1,3,2,Communicators,0.3735457632567416,0.053147668285876255,-0.3691616093027752
0,1,1,1,3,4,1,4,0,1,Leaders & Team Players,1.837834204703674,0.3520124290846215,1.151995008242665
2,1,0,1,0,0,4,0,4,2,Communicators,-2.360693463162724,0.02723832562943274,-1.207028485503364
1,3,0,2,3,0,3,1,1,2,Communicators,-0.3373630593433814,-1.3711704085859453,-0.31025819256384257
2,3,0,2,2,2,0,0,1,2,Communicators,-0.6166078012829819,0.19126749852684585,0.42525387540173665
1,3,0,0,0,0,4,0,2,2,Communicators,-1.0278646517635033,-1.3195826175002678,-1.3838410366612328
0,1,1,4,3,1,3,2,4,1,Leaders & Team Players,-0.3411990472037169,0.3313207829568471,-1.1662536368883663
1,3,0,0,4,4,4,4,3,0,Presenters,2.438022742350903,-0.13860171630814272,0.7606913490142295
1,2,0,1,2,0,1,2,3,0,Presenters,-0.778007867711496,0.31284046305416857,0.5578422155655649
1,3,1,1,0,0,0,1,1,3,Project-Driven Builders,-0.9569860475856568,0.10651517501101819,-0.5392739478975923
0,2,1,2,1,2,3,0,0,3,Project-Driven Builders,-0.04377914570404125,-1.0353535410627,-1.6749686786708877
2,4,0,1,2,2,3,2,0,0,Presenters,0.4802906090006961,-1.4947011949637659,0.4383047455984308
2,1,0,4,4,0,2,3,2,0,Presenters,-1.2368829343877998,-0.2645079920454157,1.304053761029072
1,1,1,2,0,1,0,3,4,1,Leaders & Team Players,-1.231937804899061,1.5285691685124225,0.2749519567992372
0,2,0,4,1,3,3,0,0,2,Communicators,-0.410354685403848,-1.933275895249747,-0.6046027324689381
1,2,1,1,0,1,0,4,3,1,Leaders & Team Players,-0.46651973906898964,0.9995504868033999,0.7505460287727652
1,2,1,2,0,0,4,2,4,3,Project-Driven Builders,-1.2362870817489469,-0.20721781890516255,-1.6208579353186239
1,2,1,2,0,0,4,4,3,3,Project-Driven Builders,-0.8539814885754278,-0.759412301718901,-0.54329664619291
2,0,1,1,2,1,0,2,0,1,Leaders & Team Players,-1.0908977663351123,1.1101698694360902,0.8421936354651822
0,4,0,2,3,2,0,1,4,2,Communicators,0.8530359854218876,0.5911340492303935,-0.04881985896486711
1,3,1,1,1,3,2,2,2,3,Project-Driven Builders,0.7388097545127417,0.25361840236951344,-0.6124888717839222
0,4,0,0,4,2,1,3,3,0,Presenters,2.0609152904456534,0.21142714093661186,0.7651783229167285
0,4,0,1,3,4,1,2,3,0,Presenters,2.088448092429239,0.24144417965389536,0.3742586936804854
2,4,1,3,3,2,2,1,3,3,Project-Driven Builders,0.3236784016795685,0.5050698437743607,-1.1183025460275295
1,3,0,0,3,1,2,2,4,0,Presenters,0.4975293130969735,0.5586221912540491,0.07112029368893986
2,2,1,3,2,3,1,4,2,1,Leaders & Team Players,0.20836348595003878,0.726629378031637,1.0152152717411183
1,3,0,4,3,0,0,2,4,2,Communicators,-0.8754039047092341,0.36622476427546036,0.6363193745524075
1,0,0,4,4,0,2,1,4,2,Communicators,-1.6166204752250986,0.6504998342021936,0.011413668587644988
2,3,0,1,2,1,2,0,4,2,Communicators,-0.7705298825066587,0.6649130590950252,-0.7026498365006852
1,3,0,0,3,3,4,1,4,2,Communicators,1.180321162220654,0.21305252345986725,-0.8903372589718107
0,1,1,4,1,4,1,4,0,1,Leaders & Team Players,0.5151772704364368,-0.5151511738031954,1.0594406374545209
1,3,1,0,0,1,0,2,2,3,Project-Driven Builders,-0.22101523243042526,0.7305936358011667,-0.1661964982935157
1,2,0,4,1,4,1,1,1,2,Communicators,-0.3745160184998088,-0.5161708831671598,0.589841915795106
0,2,1,0,1,4,1,2,1,1,Leaders & Team Players,1.3584084885035335,0.5474919414279354,-0.16170662205904623
0,3,1,3,1,3,2,3,2,3,Project-Driven Builders,0.8376760538254722,-0.4865470441205778,-0.3462426502105039
1,2,1,4,3,2,0,4,4,1,Leaders & Team Players,0.1842924710048387,1.3848413222185405,0.8145805348066634
0,3,0,1,1,0,0,2,0,0,Presenters,-0.3453933276013553,-1.1391364356638598,0.9279640436128372
0,3,1,0,1,1,1,1,2,3,Project-Driven Builders,0.35681573927154764,0.3362903176355581,-1.0917377833240882
0,0,1,3,0,3,1,0,0,1,Leaders & Team Players,-0.9904693888631476,-0.009478038201293683,-0.7723288982504327
1,0,1,1,3,4,1,0,3,1,Leaders & Team Players,0.33250775305698477,2.3608909330350394,-0.8148331465573029
0,0,1,0,4,1,4,2,3,1,Leaders & Team Players,0.6327740448255511,0.7624600124800789,-1.1483557898099959
1,2,0,1,0,3,3,3,0,0,Presenters,0.0802684761164465,-1.4951412676335,0.9345468651869808
0,2,0,1,0,0,1,4,3,0,Presenters,-0.7132942848462316,-0.42457568286776964,1.186094677838104
0,1,1,0,1,1,3,0,4,1,Leaders & Team Players,-0.4491854436069826,0.9767719863750827,-2.200404630506123
1,1,1,4,3,1,3,1,4,1,Leaders & Team Players,-0.8861452257521549,0.6888461573036451,-1.4286792231847159
1,3,1,0,0,1,2,4,3,3,Project-Driven Builders,0.1953478031334677,0.2225305210863019,-0.005079256337331258
2,4,1,4,3,3,2,0,3,3,Project-Driven Builders,0.3026568518506024,0.5410628572165301,-1.5202919707404152
1,1,1,4,3,3,4,4,3,1,Leaders & Team Players,0.4728359810983478,-0.025538302149025912,-0.07546595354095671
2,1,1,4,3,1,0,0,2,1,Leaders & Team Players,-1.5178741215986684,1.3589944085113452,-0.4657756284926127
2,4,0,2,4,0,1,0,4,2,Communicators,-0.434703838368727,0.7280934781752841,-0.48972621850171255
2,1,0,2,2,3,0,0,0,2,Communicators,-0.8723424435894792,0.4627363658675746,0.9066926221635256
2,0,0,0,3,4,1,3,1,0,Presenters,0.47939413048994944,1.149439323170701,2.0822863813556065
1,1,1,3,0,4,1,2,2,1,Leaders & Team Players,-0.37819515335651693,0.731419624199498,-0.016823907543856237
0,0,0,2,4,0,0,1,0,2,Communicators,-0.7615632721367999,-0.03946941721634557,1.021024246628203
1,1,0,1,3,3,0,1,0,2,Communicators,0.2224122322836508,0.4431327749288617,1.2163505526732146
1,0,0,4,4,4,4,4,3,0,Presenters,0.5457318255718859,-0.13938732498714707,1.1761667190695138
2,2,1,1,4,3,4,0,3,1,Leaders & Team Players,0.7372416726880028,1.057779246586746,-1.82276112977456
2,3,1,3,2,2,3,1,3,3,Project-Driven Builders,-0.283741933888769,0.2565453633473408,-1.3403856418646105
0,2,0,2,1,1,4,0,3,2,Communicators,-0.7692850114367625,-1.0521818262616982,-1.485744085519487
1,0,0,2,3,1,4,4,3,0,Presenters,-0.46092558145741463,-0.3252263180149509,0.942566049955023
2,3,0,1,3,0,3,4,2,0,Presenters,-0.0017477730644710272,-0.790254176767341,1.1325178124551771
0,2,0,0,0,2,0,3,2,0,Presenters,0.07005823288471295,0.11261749127980894,1.2987190987614308
2,2,0,3,0,0,1,4,0,0,Presenters,-1.7955678205802674,-1.4019993471496293,2.0412992091798707
0,1,0,4,4,2,0,3,0,0,Presenters,0.22298875989647818,-0.5690640098102535,1.9375494960884607
1,2,0,2,2,3,2,3,2,0,Presenters,0.3866472695795384,-0.2788637060540703,1.0449538608165025
0,3,1,0,3,0,2,2,2,3,Project-Driven Builders,0.8610597398040374,0.04542651783484398,-0.8984378510878445
1,4,1,2,0,2,3,2,4,3,Project-Driven Builders,0.1283875679205334,-0.07887505246066984,-1.4634372865100995
2,0,1,0,0,1,0,3,2,1,Leaders & Team Players,-1.4194835298254613,1.6792389919510209,0.907436414271154
0,3,1,1,3,3,0,1,2,3,Project-Driven Builders,1.4852334591984484,1.0761795664196694,-0.5622320935058512
0,2,0,0,4,3,3,4,0,0,Presenters,2.1553288251100904,-1.0749396165628973,1.3916327812522906
2,3,0,0,3,4,3,4,0,0,Presenters,1.7939769120559714,-0.7940709082679073,1.670131103662391
0,0,0,2,1,4,4,3,0,0,Presenters,0.3169328319120561,-1.5171631024230776,0.8071299544708262
1,0,0,4,2,2,4,1,1,2,Communicators,-1.3069715606470482,-1.2114203921947646,-0.1362063387993916
0,2,1,4,2,3,2,3,3,3,Project-Driven Builders,0.5723310654327413,0.10238610802262033,-0.308581860652222
1,2,1,2,0,0,0,0,3,3,Project-Driven Builders,-1.7581006671282429,1.014353785729253,-1.1642049096369618
1,3,0,1,2,4,2,4,0,0,Presenters,1.5630847986415142,-1.046076544160752,1.7300972798843883
0,0,1,1,3,3,2,3,0,1,Leaders & Team Players,1.0085549975922823,0.1961512002847506,0.4547299172490047
1,2,1,3,3,3,1,3,4,1,Leaders & Team Players,0.6620760753192814,1.4467201628442277,0.09988534099778552
1,2,1,3,2,0,0,3,2,3,Project-Driven Builders,-0.771993378428399,0.477355484614482,0.47766422051096985
0,1,0,4,0,4,3,0,0,2,Communicators,-0.6951773863604968,-1.6844203581054387,-0.4575882371585799
1,3,0,3,1,3,3,3,3,0,Presenters,0.18724454621923423,-0.8495513172819127,0.4035547931846825
2,2,0,1,2,1,4,1,4,2,Communicators,-0.8251518657299545,0.11954880414240543,-0.7203632046248801
0,3,0,3,0,0,0,3,3,0,Presenters,-1.052026905950942,-0.6186057450182187,0.8987435474204437
2,3,0,3,3,3,4,2,3,2,Communicators,0.34856075799217345,-0.5555766932220129,-0.06947060322684336
2,2,0,1,3,3,1,3,1,0,Presenters,0.5477853868911073,0.3078304907491132,1.7520948419981932
2,4,1,1,3,3,2,4,0,3,Project-Driven Builders,1.7720844107637164,-0.36818592920521875,0.7784365443612518
1,3,0,4,3,3,4,4,4,0,Presenters,0.8080749629407458,-0.8122894515335088,0.5096406106221354
2,4,1,3,3,0,4,3,3,3,Project-Driven Builders,0.02509217191719599,-0.6630647451728218,-0.9282733289625362
1,4,1,2,4,1,4,4,4,3,Project-Driven Builders,1.4594732035972013,-0.1632226344907699,-0.7077398308901724
2,1,0,0,0,3,0,0,4,2,Communicators,-1.2225858946175057,2.0674526593748395,0.2072391041193435
0,4,1,0,0,3,4,3,2,3,Project-Driven Builders,1.6188549175567992,-1.027528685030821,-1.1548312324495424
1,3,1,0,1,3,1,3,4,3,Project-Driven Builders,1.0110358315283674,1.4726452645170964,-0.14007563545528012
0,2,0,2,4,0,0,2,2,0,Presenters,0.007102245707075231,0.12182014016142731,0.9145732671090246
0,3,1,3,4,0,1,1,3,3,Project-Driven Builders,0.2569821303065959,0.44032960782759306,-1.1481281919472224
0,4,1,0,2,1,2,0,2,3,Project-Driven Builders,0.8963821049247858,-0.042006414954709526,-1.95153715480479
1,2,1,1,3,3,2,0,0,1,Leaders & Team Players,0.7837538851212413,0.21738810469768674,-1.0078094680746488
2,4,0,2,1,0,3,3,2,0,Presenters,-0.7182522950573025,-1.4429219424787956,0.4360859068763122
1,0,1,1,1,4,3,0,4,1,Leaders & Team Players,-0.2512753662538031,1.7329988774518235,-1.680225627664738
2,4,0,2,1,3,3,1,4,2,Communicators,-0.010285713385166055,-0.09003021282118695,-0.6101749000296948
1,4,0,1,2,4,4,0,1,2,Communicators,1.272997768591594,-1.2888475093312322,-1.0294033760727606
2,4,0,3,0,0,3,1,1,2,Communicators,-1.5789732781304846,-1.9862891010915666,-0.39003394693105786
0,2,0,4,4,4,4,2,0,2,Communicators,1.3446082116047622,-1.88297367939318,0.22237697595614794
2,3,0,2,4,3,4,2,4,0,Presenters,0.8626727016043509,0.16116501919528436,-0.17157514877934568
2,4,0,2,3,3,1,3,1,0,Presenters,0.9914995528116554,-0.3931525690609215,1.4821157599692962
0,2,0,3,4,0,3,4,0,0,Presenters,0.3602402776983593,-2.070777042612496,1.216726362182345
2,0,1,4,3,2,2,4,4,1,Leaders & Team Players,-0.7486527435360961,1.451833953481913,0.6703862802198345
1,2,1,3,2,3,2,4,3,1,Leaders & Team Players,0.5970338659631615,0.47785696463653865,0.35530663477276664
0,1,1,1,1,2,3,0,2,1,Leaders & Team Players,-0.22550936628041737,0.1684378648965648,-1.8396080760073894
0,1,0,0,3,2,4,0,4,2,Communicators,0.33658128625029576,0.3979389540444307,-1.3444591296964181
0,3,1,4,1,4,0,0,4,3,Project-Driven Builders,0.29320180729506984,1.1939688710640926,-1.3573599861770984
1,1,0,1,1,2,4,4,3,0,Presenters,-0.1827227949646461,-0.5413155158738228,0.766638166107542
2,1,1,4,4,2,4,3,0,1,Leaders & Team Players,-0.013574888125098763,-0.7984967401049783,0.09904933398357575
1,3,0,3,1,1,2,3,0,0,Presenters,-0.5090368865897036,-1.910508404572879,1.0400256816440983
2,2,1,4,0,1,0,4,0,1,Leaders & Team Players,-1.4001915556029434,-0.4400313109946412,1.4059742643694797
2,4,0,2,4,3,3,3,3,0,Presenters,1.3523255529088671,-0.20241945362560948,0.6148143746516398
2,2,0,4,0,0,4,3,1,0,Presenters,-2.0694330089180335,-2.1980749121891265,0.5031050359158569
0,2,0,3,0,1,4,3,2,0,Presenters,-0.7634833958574327,-2.0289853693857847,0.008697059072823947
2,1,1,2,4,2,4,1,2,1,Leaders & Team Players,0.014502844224574978,0.5151577438612653,-1.1316694801850484
0,0,1,3,0,3,3,2,0,1,Leaders & Team Players,-0.5384097995867402,-0.8963610819253707,-0.461874766528407
2,3,0,3,4,2,2,1,1,2,Communicators,0.09264444405874549,-0.5070448096937376,0.3717914487861077
0,3,0,2,4,4,1,1,2,2,Communicators,1.721191691731035,0.15942475068093231,0.24648106309051424
1,2,1,2,4,4,0,4,0,1,Leaders & Team Players,1.8505729418362218,0.6800549708845297,1.5776750351018674
2,2,0,1,2,0,1,3,1,0,Presenters,-0.9049518993739006,-0.2606485744219838,1.5223148081607711
2,0,1,2,0,2,3,0,4,1,Leaders & Team Players,-1.9233713414352107,1.3846636462651676,-1.646196273151523
1,1,0,1,3,4,0,1,4,2,Communicators,0.4549489269529828,2.099038263577263,0.6792154509383644
0,0,1,1,3,0,0,0,2,1,Leaders & Team Players,-0.8141709473978264,1.5054840610948566,-0.7991475656701892
2,2,1,2,2,2,1,1,2,1,Leaders & Team Players,-0.4638330431430044,1.0373854721985203,-0.4392441022657413
2,2,0,1,3,4,2,4,3,0,Presenters,1.077744983623672,0.7626545995170517,1.6688605856560395
0,1,1,1,2,0,0,4,4,1,Leaders & Team Players,-0.18573748083848307,1.5149415522985954,0.5735400918322836
2,0,1,3,0,3,0,4,3,1,Leaders & Team Players,-1.200349563622255,1.6786630810661354,1.3483675917578843
2,1,0,3,1,2,1,2,3,2,Communicators,-1.5052291972023983,0.5905197981112714,0.9705764168650945
1,4,0,4,4,3,4,1,2,2,Communicators,1.0197001216503068,-1.4180972433778989,-0.6708242468678324
2,0,1,2,1,3,4,4,2,1,Leaders & Team Players,-0.403943412954243,0.210747955625907,0.30939629046137146
1,2,0,4,2,2,2,3,1,0,Presenters,-0.39905896546304465,-1.1809494798181284,1.1378989285308965
0,3,1,0,2,3,3,4,1,3,Project-Driven Builders,2.09529077873659,-0.58824663944045,0.0017330143526214214
0,4,1,1,2,4,4,3,2,3,Project-Driven Builders,2.4246750028720117,-0.7850194538180377,-0.9944231337787449
2,1,1,1,0,0,3,1,3,1,Leaders & Team Players,-1.9085990946439193,0.5743934193330396,-1.2910271158350275
1,3,1,1,3,3,2,4,4,3,Project-Driven Builders,1.6675628019623934,1.1310872012562885,0.11534707174801435
0,4,1,4,3,4,1,3,2,3,Project-Driven Builders,1.924147917002184,-0.14211507981721308,-0.012894117554498626
1,0,0,4,4,2,2,4,4,0,Presenters,-0.3460610969948114,0.6716895487185098,1.5241751822844862
0,2,1,0,0,3,0,4,0,1,Leaders & Team Players,0.9858973395431233,0.06482418362598096,1.1153846817052018
0,4,1,2,4,1,1,2,2,3,Project-Driven Builders,1.3977231056560573,0.05193669873012339,-0.6123216626451784
