Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Marketing,Graphic Designer,2.721829040517122,3,1,2,1,6,0,4,2,0,0,4,2,4,1
Business,Risk Analyst,4.98173947780012,3,1,2,1,5,1,3,2,0,0,4,4,3,0
Architecture,Music Therapist,2.896821226895141,7,2,0,1,1,1,3,1,2,1,0,2,0,1
Art,Biomedical Engineer,3.322279400547208,1,0,4,0,5,1,4,2,3,2,0,1,4,1
Architecture,Zoologist,3.720865401745997,4,1,3,1,2,0,0,1,1,3,2,2,2,1
Business,Investment Banker,3.6561341126359714,3,0,4,0,1,1,0,0,4,2,1,3,3,0
Biology,Game Developer,4.680543589762815,1,0,4,0,4,0,4,1,3,4,1,2,3,0
Finance,Construction Manager,3.5406792476043205,2,2,4,1,5,0,1,3,3,2,2,1,3,0
Marketing,Analytical Chemist,3.851035641318067,4,1,3,0,9,1,1,0,3,1,2,2,4,0
Education,School Psychologist,3.690179762543067,7,2,2,1,9,1,0,3,2,3,1,4,2,1
Engineering,Chemist,2.9042761114702436,4,1,3,0,9,0,0,4,3,0,0,2,4,0
Music,Inorganic Chemist,3.5715372051038616,5,1,0,0,6,1,4,4,4,0,2,1,4,0
Art,Art Director,2.804905802367072,2,2,3,0,2,0,1,1,2,1,2,0,4,0
Medicine,Music Therapist,3.353321389356216,0,1,3,0,7,1,0,0,3,3,4,1,4,1
Business,Data Scientist,3.1087497166784455,6,0,1,1,7,1,4,4,1,4,1,4,0,0
Architecture,Accountant,4.118273725440004,7,1,3,1,9,0,2,0,0,1,0,2,2,0
Psychology,Special Education Teacher,4.963985951202176,0,1,2,0,9,0,4,4,1,4,1,1,1,0
Chemistry,Pharmacist,4.80465554005941,2,0,2,1,6,0,1,0,1,4,1,2,1,0
Finance,Financial Analyst,2.700773559372515,5,0,3,1,8,1,2,3,1,3,2,3,2,1
Marketing,Principal,3.1410770620679367,9,1,2,1,5,0,3,4,3,2,0,4,4,0
Psychology,Digital Marketing Specialist,4.97981233718659,1,0,3,0,5,1,3,1,1,0,0,2,0,1
Medicine,Fluid Mechanics Engineer,4.031539630293674,9,0,3,1,7,1,0,0,1,1,1,1,2,0
Medicine,Advertising Manager,2.9536008704304835,9,0,0,1,6,1,1,3,0,3,1,0,0,1
Medicine,Aerospace Engineer,4.288515704810253,7,1,0,1,3,0,0,1,3,4,1,0,3,1
Finance,Mechanical Engineer,3.3274408007378207,5,0,0,1,3,0,2,0,4,1,4,2,3,1
Education,Inorganic Chemist,4.434419461952392,5,1,2,0,9,1,3,1,0,3,3,3,0,1
Finance,Software Developer,4.489898353129243,5,0,2,0,5,1,4,1,0,0,1,4,3,1
Chemistry,Industrial-Organizational Psychologist,3.0988284639475596,9,0,1,1,4,1,2,0,1,1,3,0,4,0
Engineering,Actuary,3.148532439341283,0,1,1,1,3,0,4,4,3,1,3,1,4,0
Psychology,Manager,4.946497618234126,3,1,3,1,1,1,1,0,0,1,2,4,3,0
Law,Risk Analyst,2.9421142615691473,8,2,4,1,4,0,0,4,3,3,2,0,3,0
Computer Science,Construction Manager,3.568052007762488,5,1,1,1,4,0,1,4,3,3,4,4,3,1
Psychology,Biologist,4.8419642332465225,6,2,1,1,0,0,4,4,3,1,0,0,2,1
Chemistry,Legal Consultant,4.784433016197197,0,2,4,0,1,1,4,2,4,0,1,0,4,1
Music,Cybersecurity Analyst,4.844691084959512,4,2,1,0,5,1,4,2,2,3,0,0,0,1
Business,Psychologist,2.7366523722458016,2,2,0,0,3,0,1,0,3,4,1,3,1,1
Law,Conductor,2.8572916874039227,9,1,1,1,8,1,3,3,0,4,1,2,2,1
Finance,Musician,2.8318927223434582,2,0,0,0,0,1,1,2,4,0,0,1,0,0
Medicine,Quantum Physicist,2.9225676227611146,9,1,1,0,5,1,1,1,3,3,0,1,0,0
Art,Composer,4.329947854487081,7,1,0,0,5,1,4,4,4,4,4,4,3,1
Computer Science,Urban Planner,4.270302172612565,4,2,2,1,8,0,1,1,4,3,4,0,3,1
Marketing,Web Developer,3.9217470824320095,0,2,3,1,7,1,4,3,2,2,3,1,3,0
Marketing,Civil Engineer,4.773169897618123,4,0,2,0,5,0,2,2,1,1,4,0,3,1
Music,Biochemist,2.7285586255257464,9,1,0,0,3,1,4,2,3,1,4,4,3,0
Chemistry,Dentist,4.2270902307055955,9,2,3,0,6,0,2,1,3,0,3,4,2,0
Engineering,Special Education Teacher,4.324391677289254,5,0,2,0,1,1,1,0,0,2,0,3,2,1
Biology,Organic Chemist,2.8442277221353844,5,2,2,0,0,0,2,3,0,0,1,4,0,0
Education,Digital Marketing Specialist,4.860005103276796,3,0,1,0,5,0,2,4,4,2,0,3,0,0
Finance,Legal Consultant,4.232418287013929,8,1,2,0,0,0,2,2,2,3,2,3,2,1
Computer Science,Pharmacist,2.5700339640533634,1,0,3,1,1,0,0,0,3,0,2,2,2,0
Medicine,Special Education Teacher,3.1403263020407377,3,1,4,1,5,1,4,2,0,2,3,2,4,1
Psychology,Biotechnologist,2.6804769950926723,3,2,0,1,4,0,0,0,0,1,0,3,2,0
Architecture,Art Director,4.910965462374742,6,0,3,1,2,1,2,1,3,3,0,1,2,0
Biology,Physical Chemist,2.9004710121277184,0,0,2,0,9,1,0,0,4,3,3,4,0,0
Biology,Brand Manager,3.367809440810041,7,2,3,0,6,0,1,0,3,4,3,4,0,0
Architecture,Inorganic Chemist,4.211817026159037,8,0,0,0,6,0,0,2,1,4,4,3,0,1
Chemistry,Legal Consultant,2.710316957673639,7,1,0,0,9,1,1,4,2,2,4,1,1,0
Psychology,Forensic Psychologist,4.813356405229975,6,0,2,1,0,1,0,4,2,3,2,3,3,0
Medicine,Physical Chemist,3.2210095901722107,2,1,2,1,8,0,3,2,0,0,0,0,3,0
Law,Legal Analyst,3.458602337458382,5,1,3,0,2,1,2,1,2,4,2,4,0,0
Biology,Illustrator,2.587772190845789,6,0,0,1,9,1,0,1,3,3,2,3,0,0
Biology,Legal Analyst,3.5177457779973405,3,1,2,1,8,0,4,3,3,3,1,3,4,1
Art,Landscape Architect,4.474534296871223,5,1,2,1,3,1,2,3,2,0,0,3,2,0
Computer Science,Electrical Engineer,3.246009415877806,8,0,1,0,7,0,1,4,0,4,3,0,0,0
Physics,Ecologist,4.866727517831674,1,1,3,0,4,0,1,3,1,3,3,3,3,0
Medicine,Investment Banker,3.6566421584638764,8,2,2,0,0,0,0,1,2,1,4,1,4,0
Music,Legal Secretary,4.233320187856757,1,0,3,0,4,1,4,3,0,0,0,3,3,0
Biology,Digital Marketing Specialist,2.5750569415538203,4,2,3,0,5,0,2,3,3,3,4,2,3,0
Marketing,Market Research Analyst,4.667307110789476,4,2,2,0,8,0,3,1,3,3,1,3,1,1
Chemistry,Data Scientist,4.208145911143043,8,2,4,1,0,0,3,1,3,3,2,4,0,1
Chemistry,Cybersecurity Analyst,4.913237023860994,5,1,3,0,7,0,0,4,3,3,4,4,4,1
Physics,Marketing Manager,4.974768783245132,4,2,4,1,4,0,0,3,3,0,4,3,3,0
Engineering,Marketing Specialist,4.999330581432263,7,1,4,1,7,1,1,2,4,1,4,4,4,1
Biology,Architectural Technologist,4.327125619257021,1,2,1,0,9,0,0,0,0,3,0,0,4,1
Psychology,Cybersecurity Analyst,3.947128679720315,9,0,4,1,9,1,0,0,0,3,4,3,2,0
Chemistry,Nurse,3.808824007043836,4,1,3,1,1,1,3,0,1,3,1,3,4,0
Finance,Legal Secretary,3.2661935112806586,8,0,2,0,1,1,2,2,4,0,0,2,2,0
Medicine,Electrical Engineer,4.535038582814483,5,0,3,1,6,1,4,3,4,0,1,1,3,0
Medicine,Credit Analyst,4.059626368366994,0,0,4,1,7,0,3,0,2,1,2,0,2,0
Art,Nurse,3.161821736340002,8,1,2,1,7,1,2,1,3,3,2,0,0,0
Physics,Physician Assistant,4.893662289514454,1,2,4,0,9,0,0,2,1,0,3,3,2,1
Art,Analytical Chemist,3.665565635571012,4,1,0,1,9,0,1,1,1,4,3,0,4,0
Law,Inorganic Chemist,3.508612031722521,4,2,4,0,4,1,3,2,1,3,3,1,4,0
Psychology,Urban Planner,4.066659819095489,5,1,4,0,8,1,3,1,2,4,4,0,1,1
Marketing,Industrial-Organizational Psychologist,2.7663130583164137,0,2,4,0,5,0,0,3,0,0,3,1,1,1
Art,Doctor,3.476694363201802,4,0,2,0,6,1,3,4,4,4,4,2,0,0
Psychology,Physicist,2.8888746942900165,7,2,3,0,9,1,1,2,4,3,4,2,4,1
Physics,Risk Analyst,4.738447243509663,5,2,4,0,4,1,0,2,3,3,1,3,1,0
Law,Biochemist,4.668327046159529,2,0,2,0,8,1,4,3,4,0,3,4,0,0
Finance,Education Administrator,2.8907330590900697,1,2,0,1,5,0,4,4,3,2,2,4,4,0
Architecture,Legal Analyst,4.181146331924776,4,1,2,1,1,1,1,3,2,3,2,4,3,1
Medicine,Civil Engineer,2.7788353224114584,3,0,1,1,8,1,0,1,1,2,3,0,2,1
Education,Geneticist,3.7478446735368864,8,0,1,0,6,1,2,0,3,2,4,0,4,0
Education,Manager,4.703454724004015,8,0,3,1,3,1,0,4,1,4,0,0,4,1
Engineering,Advertising Manager,3.587360794318797,3,1,1,0,3,0,4,1,1,2,4,4,3,1
Law,Chemical Engineer,3.125604034324163,3,2,1,1,0,1,4,4,4,2,4,3,0,0
Computer Science,Sound Engineer,4.20346156527688,7,1,3,0,7,1,2,3,1,1,2,3,0,0
Biology,Credit Analyst,4.050705676954926,6,2,2,1,6,1,3,4,0,1,0,4,0,1
Psychology,Brand Manager,4.411934498793247,9,2,4,0,7,0,4,2,4,3,3,3,3,1
Medicine,Teacher,3.2616513873191497,5,2,2,0,8,1,3,4,0,0,4,3,1,0
Art,Acoustics Specialist,2.850100871049182,8,0,2,0,8,1,2,3,0,1,4,3,2,1
Music,Acoustics Specialist,4.3292589350516675,1,2,1,1,5,0,0,2,4,2,4,1,2,1
Biology,Quantum Physicist,4.2551413838908285,3,0,0,1,9,0,0,3,0,3,3,2,0,1
Business,Music Teacher,3.868288782433178,4,2,3,0,8,0,2,3,4,2,2,1,1,1
Medicine,Lawyer,3.266538240940534,8,0,3,0,0,1,4,2,4,4,1,1,2,0
Biology,Advertising Manager,4.991145418478679,5,1,2,1,7,1,1,2,4,4,0,4,0,0
Law,Aerospace Engineer,4.4654199755718835,8,2,2,0,2,1,3,1,2,0,1,3,1,0
Biology,Mechanical Engineer,4.431485172025243,5,2,0,1,5,1,3,2,0,2,3,0,4,0
Music,Nurse,4.625849303720974,0,1,1,0,8,0,4,1,3,4,0,1,4,1
Finance,Advertising Manager,4.008209051718943,3,0,0,1,7,1,2,1,3,0,0,0,2,0
Computer Science,Financial Analyst,4.6309260562994865,8,2,2,1,1,0,1,2,2,2,1,1,2,0
Biology,Inorganic Chemist,4.10867958228191,5,2,2,0,4,1,4,1,3,4,2,4,3,0
Medicine,Special Education Teacher,2.6309330908387456,0,0,1,1,1,1,2,1,2,0,0,4,4,0
Chemistry,Interior Designer,3.6525587072713157,3,2,0,1,2,0,1,3,0,3,0,4,3,0
Music,Teacher,2.7983246056163242,7,2,1,0,2,1,0,3,1,2,1,2,3,0
Business,Fluid Mechanics Engineer,3.834980909106675,6,1,4,0,0,0,1,4,4,3,4,1,2,0
Marketing,Artist,4.716951938231046,6,2,0,1,0,0,2,2,1,3,4,4,2,0
Architecture,Teacher,4.898186716205212,4,1,2,0,1,1,3,4,2,2,2,3,1,1
Finance,Principal,4.160724083330697,3,0,3,1,8,1,4,0,2,3,3,4,1,0
Medicine,Teacher,3.972879632011275,1,0,4,1,0,0,2,1,2,4,4,3,2,1
Education,Financial Advisor,4.65730735015493,6,2,1,1,1,1,3,1,0,0,3,1,3,0
Law,Nurse,3.0595783475027627,3,1,3,1,9,1,2,1,3,3,2,4,4,1
Education,Illustrator,2.817958136929298,3,0,4,1,6,1,0,4,3,4,1,3,2,0
Finance,Marketing Specialist,4.1726064815789545,4,1,0,0,2,1,1,4,4,2,2,4,4,0
Biology,Accountant,3.079459469292483,9,0,2,1,8,0,2,0,0,3,0,4,0,0
Marketing,Marketing Specialist,4.486900033314599,1,0,4,1,0,1,4,2,4,1,1,2,2,0
Education,Physical Chemist,3.6174336709955552,6,1,4,1,4,1,4,4,4,4,0,4,0,0
Psychology,Human Resources Specialist,3.926889204981678,2,1,4,0,2,1,0,2,2,4,3,1,4,1
Business,Organic Chemist,2.8953839187410795,5,0,3,1,7,1,2,2,3,2,3,2,0,1
Art,Curriculum Developer,4.164288462463572,1,0,3,0,3,0,0,2,1,0,2,1,0,1
Music,Financial Analyst,4.951268699389723,8,2,0,0,9,1,1,4,3,0,2,2,1,0
Art,Aerospace Engineer,4.515997212203385,3,1,2,1,8,0,0,1,1,4,2,1,3,0
Psychology,Education Administrator,2.9068423828452277,7,1,4,0,4,0,4,2,3,0,3,4,2,1
Medicine,Social Media Manager,2.6044188309164533,8,1,2,1,6,0,2,3,4,1,3,2,1,0
Physics,Advertising Manager,4.651834849957352,1,1,1,0,9,1,3,0,0,1,0,4,0,0
Art,Electrical Engineer,4.580640837376311,4,2,0,0,9,1,1,1,4,3,1,1,1,0
Engineering,School Counselor,4.3459874005410315,6,2,2,1,4,0,1,4,2,3,3,1,1,0
Psychology,Financial Advisor,4.259691896657534,0,0,0,0,7,1,1,0,3,2,3,0,4,1
Finance,School Psychologist,4.352835427280627,7,2,0,0,9,1,4,2,0,4,0,3,3,1
Law,Landscape Architect,2.55565746072483,0,2,3,0,4,0,3,4,1,2,2,1,2,0
Law,Cybersecurity Analyst,4.663175859286654,8,1,0,0,8,0,4,2,4,1,4,1,3,1
Chemistry,Art Therapist,3.091994905369644,2,1,3,0,2,0,4,2,4,2,0,3,4,1
Medicine,Biomedical Engineer,3.33235887561504,8,2,4,0,1,0,0,4,4,3,4,2,2,0
Computer Science,Judge,3.1151013588551897,4,1,2,0,3,1,3,0,0,3,3,2,4,0
Chemistry,Astronomer,3.1381342157742393,1,2,2,1,7,1,1,1,3,3,0,2,4,0
Chemistry,Principal,2.9791388560004854,8,2,1,1,0,0,4,2,4,1,4,0,0,1
Chemistry,Data Scientist,4.700345884900015,0,2,1,0,2,1,3,0,1,2,3,4,4,1
Art,Biotechnologist,2.9439443649437913,9,2,3,1,0,0,1,0,3,3,3,0,2,0
Psychology,Psychologist,4.398898563837819,5,0,4,0,9,0,4,2,0,1,3,3,0,1
Physics,Civil Engineer,4.955992807964004,6,1,1,1,3,0,2,4,2,0,2,3,3,0
Biology,Graphic Designer,3.1793598459799126,6,2,4,1,1,1,0,4,3,4,1,4,2,0
Art,Legal Analyst,3.4231655862225674,7,0,3,0,1,1,3,1,2,3,2,3,3,0
Business,Digital Marketing Specialist,2.8091853067030534,2,0,0,1,6,0,2,3,3,1,4,4,4,0
Psychology,Legal Secretary,4.198432165187918,8,0,4,0,3,0,0,2,1,2,3,0,1,0
Education,Quantum Physicist,3.042545352225704,5,1,1,1,6,1,0,1,1,4,4,2,4,1
Marketing,Surgeon,3.150103588707886,1,1,3,0,9,1,3,1,1,0,0,4,0,0
Chemistry,Chemical Engineer,4.593931751349638,6,1,4,1,2,1,4,3,4,4,3,4,2,1
Art,Game Developer,3.097782299256246,6,2,1,0,1,0,2,0,1,3,0,4,2,1
Business,Clinical Psychologist,3.481745251179499,6,1,2,1,1,0,2,4,4,0,2,2,3,1
Marketing,AI Researcher,3.353117308058557,4,0,0,1,7,1,3,4,0,4,3,0,0,1
Education,Legal Secretary,4.638088856438534,9,2,1,1,7,1,4,4,3,0,2,3,0,1
Medicine,Financial Advisor,3.2955815174574354,6,1,0,0,4,1,2,3,1,0,2,2,4,1
Engineering,AI Researcher,4.13503794626819,6,0,2,0,0,1,2,0,1,4,4,1,2,1
